id	1h_vs_ud|IB	30m_vs_ud|IB	1h_vs_ud|IB2	30m_vs_ud|IB2	1h_vs_ud|KR	30m_vs_ud|KR	1d_vs_ud|IB	6h_vs_ud|IB	1d_vs_ud|IB2	6h_vs_ud|IB2	1d_vs_ud|KR	6h_vs_ud|KR	logFC	AveExpr	t	P.Value	adj.P.Val	B
5884	0.788789805320544	-0.0910506659079193	0.122634763211089	-0.0145926904358754	0.596662520094185	0.148695544657749	0.343029593720563	-0.0283963544136454	0.402371110252797	0.113709646206492	0.00463618523458956	-0.0213701086342584	-0.617394196383769	0.197093279108859	-5.30840742535245	0.000186505812659628	0.287498710214817	0.444389918659333
4303	-4.58479537531822	-7.20841781106628	-7.50973705356222	-7.37011028896705	-5.91116937314835	-5.81676501899613	-5.29289564110957	-8.20989397243148	-5.40680635433944	-7.38205860211039	-7.33443949180817	-8.13829593762068	-2.6051763654044	-6.68044874337316	-4.17947380207022	0.0012808509577954	0.437527737670722	-0.936089315584852
3190	NA	0.0581673446031387	NA	0.0424562439532054	0.790300690606548	0.0833874235588304	NA	-0.179089425847266	NA	-0.180650157438807	0.455792581692127	-0.0801304094060523	-0.862555221039919	0.123779286465215	-5.73668303574826	0.000438409702923173	0.427120713728806	-1.07443950157384
60	NA	-2.7621979991026	-0.207031913507859	NA	0.083048420385434	NA	NA	-2.64103431123415	-0.0614004029482516	NA	-0.221621477491502	NA	-2.65185831995274	-0.968372947316489	-8.44595403580547	0.000152273817472456	0.287498710214817	-1.29412083426887
5602	1.00283826421174	0.507088690293693	0.0404955819659653	NA	0.631566636474542	NA	0.231770261746724	-0.189462394070722	0.4774100834395	NA	0.0582933082281745	NA	-0.893400722112649	0.345000054036202	-4.02249913833696	0.00384158422545092	0.437527737670722	-2.12237113841574
5114	0.534867279820013	0.0146935470336417	NA	-0.321738828289417	NA	NA	0.126113289031577	-0.104391040234983	NA	-0.0383802749847263	NA	NA	-0.747932214082213	0.0351939953960175	-4.85686250828136	0.00285008371402822	0.437527737670722	-2.17331852552285
5530	NA	0.0225081538122337	NA	NA	-0.612645019968203	-0.0323457714634611	NA	0.075848299303156	NA	NA	0.322761194418829	0.39681796324673	0.848978151243146	0.028824136558214	4.83249339872057	0.00292143450925764	0.437527737670722	-2.18343433330599
2338	0.188765931593217	0.156768431858314	0.620751729782629	-0.99288377372237	0.0884620567156377	0.130893657309869	0.414684965273831	-0.2176400662621	0.06782957098701	0.157915986263676	0.165962037503537	-0.209153737458777	-0.588245045579704	0.047696399153706	-3.2572400664473	0.00687330722550498	0.437527737670722	-2.21654263104365
4484	NA	-0.109265917638722	NA	-0.0428398004915919	0.662265712260799	0.150295625653395	NA	0.164187360308703	NA	0.185883595584346	-0.0851334105534247	0.103315243827097	-0.587378111046063	0.128588551118825	-3.79981748968233	0.00525495985133783	0.437527737670722	-2.2964435225692
2339	NA	0.0941517277147111	0.223199871763901	NA	0.344556185812623	NA	NA	-0.519609686341978	0.0822391163956345	NA	0.139806844250086	NA	-0.733007337446107	0.0607240099324964	-4.49873087376571	0.00413310970762061	0.437527737670722	-2.33054823243856
