id	1h_vs_ud|IB	30m_vs_ud|IB	1h_vs_ud|IB2	30m_vs_ud|IB2	1h_vs_ud|KR	30m_vs_ud|KR	1d_vs_ud|IB	6h_vs_ud|IB	1d_vs_ud|IB2	6h_vs_ud|IB2	1d_vs_ud|KR	6h_vs_ud|KR	logFC	AveExpr	t	P.Value	adj.P.Val	B
241	0.699361543329644	0.117033413079879	NA	NA	0.588898392371291	0.322105021385621	-0.183846977278709	-0.0456920752558133	NA	NA	0.0941295591573389	-0.173450214342131	-0.75370111264944	0.17731733280589	-5.62249362546696	0.000878074950826661	0.34893212634738	-0.413189919785694
341	NA	0.0173948830495988	0.957229408564505	NA	NA	-0.142190973659178	NA	-0.0187150411612872	0.745643686919775	NA	NA	-0.114490071283568	-0.812246243142203	0.240811982071641	-5.79846498312021	0.00244741492988064	0.34893212634738	-1.46001670307907
1084	NA	0.409548833762265	NA	0.230405112674107	-0.531301637061251	0.355953378792463	NA	0.0276608271415346	NA	0.186166535485392	-0.314845728023834	-0.0016887674131719	0.616760694528741	0.0452373194196881	4.02113342179136	0.00535191180096437	0.34893212634738	-1.8783088872606
875	NA	NA	2.27664554289562	2.17718430221153	NA	NA	NA	NA	-2.40805255579897	-1.36750841675444	NA	NA	4.58523685801051	0.169567218138437	24.574649355391	0.000230576367853333	0.189072621639733	-2.12334711960719
1425	2.60684489468643	3.07104182806979	NA	NA	NA	NA	-1.6448483837211	-0.571042938872614	NA	NA	NA	NA	-3.17788783355904	0.865498850040626	-11.1022176201343	0.00210417704027188	0.34893212634738	-2.280802539155
251	NA	0.0346337780539413	-1.21660820662444	-0.136526755536807	NA	NA	NA	-0.0636886544829705	-1.13276424721796	-0.0146529766384092	NA	NA	1.03265654220807	-0.421601177074441	4.13916895064055	0.00978712061706065	0.34893212634738	-2.31369232324553
239	NA	NA	-0.686498723815544	-0.700638102348441	NA	NA	NA	NA	1.20276248527589	0.669661774498172	NA	NA	-1.90340058762433	0.121321858402518	-9.84761043347898	0.00292683968842187	0.34893212634738	-2.33039792696264
1545	-0.317282889754165	-0.13804463585513	NA	NA	NA	NA	0.340960984518863	1.32866415755805	NA	NA	NA	NA	1.64594704731222	0.303574404116904	9.26776062278344	0.003456591611226	0.34893212634738	-2.35951607030488
1123	NA	NA	NA	NA	-0.57757321747562	-0.101783906693587	NA	NA	NA	NA	1.36563655260175	0.925163932184205	1.50273714965983	0.402860840154186	8.39852357083397	0.0045229260094996	0.34893212634738	-2.41321821604116
1424	1.95876845108101	1.95233356636969	NA	NA	NA	NA	-1.03315612763996	0.0686020273786716	NA	NA	NA	NA	-1.89016642370234	0.736636979297353	-8.0395245328312	0.00509332862314796	0.34893212634738	-2.43979468586032
