X	intensity_IB_1_24	intensity_IB2_1_24	intensity_KR_1_24	intensity_IB_30_6	intensity_IB2_30_6	intensity_KR_30_6
0|L	NA	19.3046845120088	NA	NA	21.06932834729	NA
1|L	26.3877405954079	NA	29.3633483240495	NA	NA	NA
2|L	26.3877405954079	NA	29.3633483240495	NA	NA	NA
3|L	NA	24.1275111004917	20.2675413907267	21.2364520130003	17.1040301136971	NA
4|L	NA	NA	NA	NA	NA	25.3197995616022
5|L	24.3194061805019	24.3442261330861	24.03302653989	25.201852431646	23.3755009482894	26.3246551610867
7|L	NA	21.3214838078349	NA	NA	NA	NA
8|L	NA	NA	NA	20.1688017831391	18.88669680157	NA
9|L	NA	NA	21.5479419323257	20.3354488238099	18.7605851061457	NA
10|L	NA	NA	NA	NA	17.1763714067123	NA
11|L	17.4341570382101	NA	NA	NA	NA	NA
12|L	17.4341570382101	NA	NA	NA	NA	NA
13|L	28.4436056581758	26.8376655541347	28.6431412901897	28.261227275494	27.5353925602123	27.4874399002071
15|L	24.7114551200451	22.4143727725727	NA	25.6237215774205	19.6781599156952	NA
16|L	23.6994486197164	19.4757095062328	NA	NA	NA	26.0984948903063
17|L	NA	NA	22.5264979150228	NA	20.9071944306052	NA
18|L	NA	22.4346701722692	NA	NA	NA	NA
19|L	23.7700408477567	24.8716900037183	25.8510910747882	25.3955350024644	24.9708450777326	22.6573657897031
21|L	NA	17.1657957725372	NA	NA	NA	22.4347531910788
22|L	22.77576771839	23.9694493149065	NA	NA	23.8994057066922	19.9402312155213
23|L	NA	21.636875867032	NA	NA	20.8764918088441	NA
24|L	NA	21.636875867032	NA	NA	20.8764918088441	NA
25|L	NA	23.877786907941	24.4288304519454	22.7270987548177	22.0423824816729	NA
26|L	NA	NA	24.8161642485843	21.1510289281897	22.4355607823739	26.2485912981447
27|L	NA	23.2600283361752	25.7788460878669	21.68879968723	22.6970833095044	24.3671963891311
28|L	NA	27.1053342846801	25.9729158792382	NA	26.0304525192706	23.6217690001694
29|L	21.2535322904054	25.4654701273815	23.9348716839836	23.258665906076	22.6404592154079	26.2402801117378
30|L	NA	NA	NA	22.7928970243426	NA	NA
31|L	NA	NA	25.1632829073339	NA	NA	NA
32|L	NA	NA	25.1632829073339	NA	NA	NA
33|L	29.0137473543248	30.0127825753182	28.9755723139883	25.281599919185	31.3938597762723	30.6604691586218
34|L	NA	21.2083442296967	27.1816173561749	NA	NA	25.4627281923596
35|L	32.0031716803051	30.0517931467024	32.554455832582	32.1178916603032	30.4945098340167	31.7295649674215
36|L	32.9046982909858	31.3209754098083	33.0373196803984	32.7066423202825	31.0022701944893	32.6111995288345
37|L	31.0013488142279	26.7971776254471	31.6474300681404	29.6138169156123	28.4232081319197	29.0788565906453
38|L	31.3581736555308	29.954328659329	32.0278310768888	31.7104307946309	29.9903869501594	30.9029217491306
40|L	26.68860915014	27.6627567952983	28.5556769028691	26.530758564136	26.8435335460001	29.0249946685773
41|L	NA	NA	NA	NA	20.8706808791813	NA
42|L	NA	NA	16.6258001753015	19.5121916738979	NA	NA
43|L	NA	NA	NA	NA	21.9233052799351	NA
44|L	NA	22.0026184680636	NA	NA	NA	NA
45|L	NA	20.9817767362248	NA	NA	NA	NA
46|L	NA	NA	NA	NA	NA	28.5824959244941
47|L	NA	19.1576998207174	NA	NA	21.3557002726169	NA
48|L	NA	21.5004353694654	NA	NA	NA	NA
49|L	NA	21.5004353694654	NA	NA	NA	NA
53|L	NA	NA	NA	NA	NA	21.8543987644874
55|L	NA	24.8754766777363	26.6616824780158	22.5773095864988	21.9032644507303	25.2646298218826
56|L	NA	NA	30.0145739577558	25.6359246710371	17.7025230780632	28.8559084745368
57|L	NA	NA	NA	22.2638431392706	NA	NA
58|L	NA	NA	NA	NA	20.4372732525275	NA
59|L	NA	23.0949151290286	NA	NA	22.6102905445869	NA
60|L	NA	NA	18.9347012441513	NA	NA	NA
61|L	NA	NA	NA	NA	23.9518337813142	NA
62|L	NA	NA	NA	NA	23.9518337813142	NA
63|L	21.0226758191601	20.6881755448363	20.9693969376829	24.5065071634652	19.1364530783308	NA
64|L	NA	NA	NA	NA	NA	22.4408364590954
