X	intensity_IB_1_24	intensity_IB2_1_24	intensity_KR_1_24	intensity_IB_30_6	intensity_IB2_30_6	intensity_KR_30_6
0|L	NA	16.8047080709584	NA	NA	18.229349068629	NA
1|L	25.1142005039908	NA	27.0319348362878	NA	NA	NA
2|L	25.1142005039908	NA	27.0319348362878	NA	NA	NA
3|L	NA	21.3703841976372	18.8743947437009	20.5567786795727	13.8622900226002	NA
4|L	NA	NA	NA	NA	NA	23.4549415568441
5|L	22.9545757790006	22.3681563095753	21.5947295227702	23.6903759019737	21.6149149605697	24.378714141555
7|L	NA	18.9600362079488	NA	NA	NA	NA
8|L	NA	NA	NA	20.0892087040321	15.1886707372955	NA
9|L	NA	NA	20.4836766269411	20.0892087040321	15.1886707372955	NA
10|L	NA	NA	NA	NA	12.8635861736373	NA
11|L	18.8476016065349	NA	NA	NA	NA	NA
12|L	18.8476016065349	NA	NA	NA	NA	NA
13|L	27.1781723163028	25.3287779828766	26.3198493940837	26.8128390950437	25.8179974193152	25.8965154111527
15|L	23.5410068017198	20.2344633687559	NA	24.1979559022091	17.6208685480605	NA
16|L	22.8113403141188	17.2550844507948	NA	NA	NA	24.2580575177554
17|L	NA	NA	20.5769118484343	NA	18.1692120971132	NA
18|L	NA	20.2719005706899	NA	NA	NA	NA
19|L	22.4054101245503	22.8929220120902	23.4149419102303	23.8842637759718	23.2077167837357	20.7119908849856
21|L	NA	14.1740053448714	NA	NA	NA	21.5051419278365
22|L	21.7301536996796	21.7228951556584	NA	NA	21.6469094487018	18.0609531585284
23|L	NA	19.2723427911306	NA	NA	18.5205281224317	NA
24|L	NA	19.2723427911306	NA	NA	18.5205281224317	NA
25|L	NA	21.7224636900795	22.0882832072476	21.2556435875917	20.0558811487385	NA
26|L	NA	NA	22.5658694575076	19.8309123434168	20.3623254883605	24.3614495378926
27|L	NA	21.1253039997109	23.4476288314894	20.233995288868	20.73044858231	22.4002577290473
28|L	NA	25.3683861478809	23.4185489965466	NA	24.3139980546983	21.8360543097881
29|L	20.0553068149372	23.3510458545018	21.6185674190913	21.8299089354088	20.6799491691918	24.3108413149886
30|L	NA	NA	NA	22.0985545513401	NA	NA
31|L	NA	NA	22.8436661404053	NA	NA	NA
32|L	NA	NA	22.8436661404053	NA	NA	NA
33|L	27.7928319159323	28.7684528259831	26.9084917687705	23.9706997178658	29.8064356916033	28.9246211994059
34|L	NA	19.2261174893414	24.7451252384217	NA	NA	23.5057977959815
35|L	30.8420157462756	29.2426397934584	30.930688809361	30.9915024195986	29.1268078329497	29.8359272873957
36|L	31.7555882545589	30.6648099297969	31.5696089188186	31.6537564880188	29.7326436758443	30.6306811161493
37|L	29.7875212679554	25.5926241560635	29.6201956594724	28.3197952293871	26.8547103980229	27.3273437760673
38|L	30.1877637149437	29.0481044557668	30.3049260027469	30.5402312585736	28.5669363131914	29.0524098929888
40|L	25.4169139701251	26.1021594603563	26.1854971855067	25.0462060130292	25.1106637913555	27.4424149696279
41|L	NA	NA	NA	NA	18.3741921417432	NA
42|L	NA	NA	16.3409114998841	20.1671866140129	NA	NA
43|L	NA	NA	NA	NA	19.8416543581032	NA
44|L	NA	19.774502084716	NA	NA	NA	NA
45|L	NA	18.5694753327699	NA	NA	NA	NA
46|L	NA	NA	NA	NA	NA	26.9334212000939
47|L	NA	16.6678728854658	NA	NA	18.5483160570836	NA
48|L	NA	19.173003616496	NA	NA	NA	NA
49|L	NA	19.173003616496	NA	NA	NA	NA
53|L	NA	NA	NA	NA	NA	20.535317627061
55|L	NA	22.8628134837409	24.2496195572649	21.0435655474738	20.1394088255518	23.2845919641904
56|L	NA	NA	27.4994437988376	24.1298175591177	16.0057760018039	26.9096917798174
57|L	NA	NA	NA	21.6759390396124	NA	NA
58|L	NA	NA	NA	NA	17.7287365188344	NA
59|L	NA	21.0067317746779	NA	NA	20.7526931013136	NA
60|L	NA	NA	18.4035062782571	NA	NA	NA
61|L	NA	NA	NA	NA	22.2153299678455	NA
62|L	NA	NA	NA	NA	22.2153299678455	NA
63|L	20.846817095539	18.0370276605126	19.4428844800337	23.696615863925	16.0602821119913	NA
64|L	NA	NA	NA	NA	NA	20.9802163951922
66|L	NA	17.4062957957374	NA	NA	NA	NA
67|L	NA	17.4062957957374	NA	NA	NA	NA
68|L	23.5931174899927	NA	NA	24.6540324365147	NA	NA
69|L	23.5901599471788	NA	NA	24.7400594268278	NA	NA
70|L	22.9829457581353	25.053389837574	25.1780478145355	21.2810217838391	23.907120154206	26.3883891073751
74|L	NA	NA	NA	16.7962438188797	NA	NA
75|L	NA	19.6625297584052	NA	NA	17.5466441081818	NA
76|L	NA	20.7124498835606	NA	NA	20.711618409469	18.624967010325
77|L	NA	19.9021588592267	NA	NA	21.4325700447901	NA
78|L	NA	20.0137427414052	NA	22.4144051348379	21.889285073573	NA
79|L	27.722070724451	NA	NA	28.5246890603462	22.3249096332486	NA
