X	intensity_IB_1_24	intensity_IB2_1_24	intensity_KR_1_24	intensity_IB_30_6	intensity_IB2_30_6	intensity_KR_30_6
0|L	NA	19.2454446976651	NA	NA	20.7650425146116	NA
1|L	25.7529325190555	NA	27.9862028167497	NA	NA	NA
2|L	25.7529325190555	NA	27.9862028167497	NA	NA	NA
3|L	NA	23.4617815456737	19.9902096389745	21.1413347784195	16.824897874133	NA
4|L	NA	NA	NA	NA	NA	23.8923937525104
5|L	23.2588207534853	24.4802838427687	22.6572685943724	24.6801315769764	23.5850657828587	24.7960287138827
7|L	NA	21.292345388029	NA	NA	NA	NA
8|L	NA	NA	NA	20.6263899656153	18.0278366691809	NA
9|L	NA	NA	21.4140201182455	20.6263899656153	18.0278366691809	NA
10|L	NA	NA	NA	NA	16.365426146245	NA
11|L	18.266408986457	NA	NA	NA	NA	NA
12|L	18.266408986457	NA	NA	NA	NA	NA
13|L	28.0534041916806	27.2414742900108	27.246657951199	28.0850813800246	27.6851751016117	26.2106785699565
15|L	23.9442609455059	22.4804169483082	NA	25.2729509830258	20.2182277334367	NA
16|L	23.0934267131564	19.5934857594886	NA	NA	NA	24.6714452692628
17|L	NA	NA	21.5134398093596	NA	20.7244060845691	NA
18|L	NA	22.5150720815653	NA	NA	NA	NA
19|L	22.6105261259502	24.9265307535587	24.437370272246	24.9022020031712	25.0999113954226	21.3601822937654
21|L	NA	16.9803176173871	NA	NA	NA	22.0390460453226
22|L	21.7608914575979	23.828137725612	NA	NA	23.6171995842079	19.0216148656567
23|L	NA	21.6106056282173	NA	NA	21.0753758797673	NA
24|L	NA	21.6106056282173	NA	NA	21.0753758797673	NA
25|L	NA	23.825909759109	23.1286497286157	21.9133369880896	22.3178682959718	NA
26|L	NA	NA	23.6429016692835	20.2293430247905	22.5379597159808	24.7755666742806
27|L	NA	23.2788261459777	24.4879942036512	20.7910504719348	22.8182557353453	22.9622820410114
28|L	NA	27.272237409438	24.4467948739451	NA	26.1924943480858	22.3330418141133
29|L	19.7628693879198	25.3235343269831	22.6734563479143	22.6563222791352	22.7876275024086	24.7128576687489
30|L	NA	NA	NA	22.961778666005	NA	NA
31|L	NA	NA	23.929572622229	NA	NA	NA
32|L	NA	NA	23.929572622229	NA	NA	NA
33|L	28.9117961638165	30.5457919352338	27.8715470617903	25.0422587258383	31.4491224075661	29.6287809046352
34|L	NA	21.5642761163252	25.6972635385648	NA	NA	23.9314401156277
35|L	31.7184927272952	31.1091451628038	31.344330090582	32.1063348329951	30.9056045644156	31.1103290732849
36|L	32.9173870279638	32.1512367496536	32.4143109697962	32.9173870279638	31.2893896624521	32.0015602076395
37|L	30.851524788354	27.4685710248087	30.1996612958176	29.3116853430255	28.6401535162231	27.6104082930891
38|L	31.2108679051473	31.0020891056585	30.7487332693051	31.1452226724331	30.6421714802404	29.8716070605356
40|L	26.0350648101436	27.8940343113857	27.0926785056686	26.2403693918649	26.9878717248638	27.7235417704306
41|L	NA	NA	NA	NA	20.8985081875841	NA
42|L	NA	NA	17.5697281571457	20.7024370561365	NA	NA
43|L	NA	NA	NA	NA	22.1525441765195	NA
44|L	NA	22.0760228699998	NA	NA	NA	NA
45|L	NA	20.9343063631468	NA	NA	NA	NA
46|L	NA	NA	NA	NA	NA	27.221105915865
47|L	NA	19.0683637598487	NA	NA	21.1031421679639	NA
48|L	NA	21.5256579579698	NA	NA	NA	NA
49|L	NA	21.5256579579698	NA	NA	NA	NA
53|L	NA	NA	NA	NA	NA	21.2242038460704
55|L	NA	24.9086875586917	25.2628285345608	21.6518816577468	22.3848473295217	23.7323828765812
56|L	NA	NA	28.3849903725876	25.1763386798204	18.6937557026422	27.1755589759024
57|L	NA	NA	NA	22.428831165786	NA	NA
58|L	NA	NA	NA	NA	20.3268926833038	NA
59|L	NA	23.1716979105468	NA	NA	22.8473949178814	NA
60|L	NA	NA	19.4505316506435	NA	NA	NA
61|L	NA	NA	NA	NA	24.187683386735	NA
62|L	NA	NA	NA	NA	24.187683386735	NA
63|L	20.6178256214025	20.3998114082275	20.4021679565266	24.6982890558099	18.7298502163073	NA
64|L	NA	NA	NA	NA	NA	21.5770445414977
66|L	NA	19.7497221761731	NA	NA	NA	NA
67|L	NA	19.7497221761731	NA	NA	NA	NA
68|L	24.001430395286	NA	NA	25.7846613146269	NA	NA
69|L	23.9942549553114	NA	NA	25.9285430452966	NA	NA
70|L	23.2999632970135	27.0140966303762	26.1466556076439	21.9549787938576	25.8039889367164	26.7344040381082
74|L	NA	NA	NA	16.6754695741593	NA	NA
75|L	NA	21.9480431187772	NA	NA	20.1367830111677	NA
76|L	NA	22.899786519707	NA	NA	22.8099191672267	19.4942834538388
77|L	NA	22.1952457582496	NA	NA	23.4474400743478	NA
78|L	NA	22.2830082487158	NA	23.2624219878194	23.8604333556768	NA
79|L	28.8663200254853	NA	NA	29.5179812404902	24.3047948923884	NA
81|L	22.5985250157451	21.0474342212114	19.527308931693	NA	NA	NA
82|L	NA	22.9226462647052	NA	24.3846303750434	22.8159696773603	22.2337588722253
83|L	NA	18.8762799886605	NA	NA	20.8068290387652	NA
84|L	NA	23.8113146544445	NA	NA	NA	18.1393835890817
85|L	NA	19.9449166505306	17.8680655677614	NA	20.6890404299647	NA
86|L	21.8259515264355	24.691802292027	21.7693457534008	22.8119933171622	23.6318290318275	22.4585163396327
87|L	NA	21.0088725786958	NA	NA	NA	NA
88|L	NA	NA	22.0488476804138	NA	NA	NA
89|L	NA	NA	20.2513859245523	NA	NA	21.8038414157494
90|L	NA	15.1065366398796	NA	NA	14.0585439159342	NA
91|L	NA	15.1065366398796	NA	NA	14.0585439159342	NA
92|L	25.1649044781352	NA	NA	NA	NA	NA
93|L	NA	23.1933431836272	NA	NA	22.5741567876266	NA
94|L	NA	21.5573051185462	NA	NA	23.1055948842427	NA
95|L	NA	NA	NA	NA	NA	25.7202749144272
96|L	NA	NA	NA	NA	NA	25.7202749144272
97|L	21.0678197062868	23.0305968356303	NA	NA	22.5996088488755	NA
98|L	23.2233573823295	23.466993453153	24.1368676026936	23.9051196847112	22.2249870547047	25.290705892488
99|L	23.8757516924472	22.3583901435381	26.9916570310042	23.9844649290616	21.9365688132575	25.3005332755838
100|L	NA	21.8650848550166	NA	NA	20.8849768423025	NA
101|L	NA	21.7455391064447	NA	NA	21.0488973990565	NA
102|L	24.8951469159188	22.9060101982471	23.707150705486	25.1294094795273	21.1145145298881	24.0642349940509
103|L	24.5966256060255	22.9896901173157	19.9962143013481	23.8749881319615	21.4872619475097	19.987687076686
104|L	21.9068335726448	NA	22.3231447330065	23.3876606713716	NA	22.4036003274365
105|L	21.3867607669436	25.6902010535892	NA	NA	24.7901655858358	NA
106|L	21.3867607669436	25.6902010535892	NA	NA	24.7901655858358	NA
107|L	NA	NA	NA	NA	20.7791364107707	NA
108|L	NA	NA	NA	NA	20.7791364107707	NA
109|L	NA	NA	NA	NA	20.7791364107707	NA
110|L	27.7279716874422	18.7376416480163	NA	27.4434707336782	19.5935323931974	NA
111|L	NA	20.4998940600068	NA	NA	21.8992064399423	NA
