X	intensity_IB_1_24	intensity_IB2_1_24	intensity_KR_1_24	intensity_IB_30_6	intensity_IB2_30_6	intensity_KR_30_6
0|L	NA	17.9939671121886	NA	NA	19.6950649732192	NA
1|L	25.5459411248033	NA	28.7941626153709	NA	NA	NA
2|L	25.5459411248033	NA	28.7941626153709	NA	NA	NA
3|L	NA	22.5596432386844	20.636622522783	21.2586798836448	15.3280059270929	NA
4|L	NA	NA	NA	NA	NA	24.8481199453
5|L	23.386316399813	23.5574153506184	23.3569573018532	24.3922771060469	23.0806308651648	25.7718925300109
7|L	NA	20.1492952490307	NA	NA	NA	NA
8|L	NA	NA	NA	20.7911099081036	16.6543866418478	NA
9|L	NA	NA	22.2459044060238	20.7911099081036	16.6543866418478	NA
10|L	NA	NA	NA	NA	14.3293020780458	NA
11|L	19.2793422273443	NA	NA	NA	NA	NA
12|L	19.2793422273443	NA	NA	NA	NA	NA
13|L	27.6099129371154	26.5180370239162	28.0820771731668	27.514740299117	27.2837133239108	27.2896937996087
15|L	23.9727474225322	21.4237224098127	NA	24.8998571062823	19.0865844526479	NA
16|L	23.2430809349311	18.4443434919738	NA	NA	NA	25.6512359062114
17|L	NA	NA	22.3391396275171	NA	19.6349280017032	NA
18|L	NA	21.4611596117462	NA	NA	NA	NA
19|L	22.8371507453626	24.0821810531321	25.1771696893133	24.586164980045	24.6734326883311	22.1051692734415
21|L	NA	15.3632643871021	NA	NA	NA	22.8983203162924
22|L	22.1618943204917	22.9121541967038	NA	NA	23.1126253532968	19.4541315469841
23|L	NA	20.4616018322042	NA	NA	19.9862440270229	NA
24|L	NA	20.4616018322042	NA	NA	19.9862440270229	NA
25|L	NA	22.9117227311249	23.8505109863306	21.9575447916642	21.5215970533325	NA
26|L	NA	NA	24.3280972365906	20.5328135474879	21.8280413929548	25.7546279263485
27|L	NA	22.3145630407596	25.2098566105724	20.9358964929397	22.1961644869047	23.7934361175033
28|L	NA	26.5576451889204	25.1807767756296	NA	25.7797139592938	23.2292326982441
29|L	20.4870474357484	24.5403048955429	23.3807951981743	22.5318101394816	22.1456650737864	25.7040197034445
30|L	NA	NA	NA	22.800455755413	NA	NA
31|L	NA	NA	24.6058939194883	NA	NA	NA
32|L	NA	NA	24.6058939194883	NA	NA	NA
33|L	28.2245725367448	29.9577118670222	28.6707195478535	24.6726009219391	31.2721515961988	30.3177995878619
34|L	NA	20.4153765304161	26.5073530175047	NA	NA	24.8989761844375
35|L	31.2737563670881	30.4318988344974	32.6929165884441	31.693403623672	30.5925237375453	31.2291056758516
36|L	32.1873288753714	31.8540689708359	33.3318366979017	32.3556576920922	31.1983595804399	32.0238595046053
37|L	30.2192618887679	26.781883197103	31.3824234385555	29.0216964334605	28.3204263026185	28.7205221645233
38|L	30.6195043357562	30.2373634968059	32.06715378183	31.242132462647	30.032652217787	30.4455882814447
40|L	25.8486545909376	27.2914185013957	27.9477249645898	25.7481072171025	26.576379695951	28.8355933580839
41|L	NA	NA	NA	NA	19.8399080463338	NA
42|L	NA	NA	18.1031392789621	20.8690878180846	NA	NA
43|L	NA	NA	NA	NA	21.307370262697	NA
44|L	NA	20.9637611257794	NA	NA	NA	NA
45|L	NA	19.7587343738652	NA	NA	NA	NA
46|L	NA	NA	NA	NA	NA	28.3265995885499
47|L	NA	17.8571319267151	NA	NA	20.0140319616748	NA
48|L	NA	20.362262657572	NA	NA	NA	NA
49|L	NA	20.362262657572	NA	NA	NA	NA
53|L	NA	NA	NA	NA	NA	21.9284960155169
55|L	NA	24.0520725247828	26.0118473363479	21.7454667515462	21.605124730146	24.6777703526464
56|L	NA	NA	29.2616715779207	24.8317187631909	17.4714919063746	28.3028701682734
57|L	NA	NA	NA	22.3778402436851	NA	NA
58|L	NA	NA	NA	NA	19.1944524234223	NA
59|L	NA	22.1959908157273	NA	NA	22.2184090059083	NA
60|L	NA	NA	20.1657340573389	NA	NA	NA
61|L	NA	NA	NA	NA	23.6810458724408	NA
62|L	NA	NA	NA	NA	23.6810458724408	NA
63|L	21.2785577163507	19.226286701633	21.2051122591162	24.3985170679982	17.5259980165629	NA
64|L	NA	NA	NA	NA	NA	22.3733947836481
66|L	NA	18.5955548369024	NA	NA	NA	NA
67|L	NA	18.5955548369024	NA	NA	NA	NA
68|L	24.0248581108051	NA	NA	25.355933640588	NA	NA
69|L	24.0219005679913	NA	NA	25.4419606309011	NA	NA
70|L	23.4146863789477	26.2426488786137	26.9402755936186	21.9829229879116	25.3728360588014	27.7815674958311
74|L	NA	NA	NA	17.4981450229354	NA	NA
75|L	NA	20.8517887994706	NA	NA	19.0123600127687	NA
76|L	NA	21.9017089246123	NA	NA	22.1773343140636	20.0181453987807
77|L	NA	21.0914179002881	NA	NA	22.8982859493851	NA
78|L	NA	21.2030017824649	NA	23.1163063389109	23.3550009781681	NA
79|L	28.1538113452635	NA	NA	29.2265902644196	23.7906255378439	NA
81|L	22.8263139450047	19.8879337651449	20.2799148172676	NA	NA	NA
82|L	NA	21.9279394875007	NA	24.0949425151612	22.1910113210895	23.1363462866471
83|L	NA	17.6400281869628	NA	NA	19.7302817311135	NA
84|L	NA	22.8926275732325	NA	NA	NA	18.578742918864
85|L	NA	18.7716471543279	18.4630366824671	NA	19.5951066563805	NA
86|L	22.204037514704	23.8029515843532	22.5656269338877	22.6773318677378	23.1341234519042	23.3233556328581
87|L	NA	19.8500934261459	NA	NA	NA	NA
88|L	NA	NA	22.8622394325729	NA	NA	NA
89|L	NA	NA	20.9625536228136	NA	NA	22.5980359716625
90|L	NA	12.935417599042	NA	NA	11.1444293037955	NA
91|L	NA	12.935417599042	NA	NA	11.1444293037955	NA
92|L	25.0478787046472	NA	NA	NA	NA	NA
93|L	NA	22.2233400561447	NA	NA	21.8759815796612	NA
94|L	NA	20.4139554558925	NA	NA	22.5633357401559	NA
95|L	NA	NA	NA	NA	NA	26.7214174738706
96|L	NA	NA	NA	NA	NA	26.7214174738706
97|L	21.7054207353149	22.0482991480804	NA	NA	21.9091945351572	NA
98|L	23.354343473257	22.5663977092716	24.804887109892	23.6583142826723	21.4043939019676	26.2192074566402
99|L	23.9037326808007	21.2916154193464	27.8606056006551	23.7607813052284	21.0076904348031	26.2209721107389
100|L	NA	20.7592140995256	NA	NA	19.8179777096064	NA
101|L	NA	20.6400281867489	NA	NA	19.9664436269323	NA
102|L	24.8216799979701	21.9080320280673	24.4007522567664	24.7788323421084	20.0375523662961	25.0533289077965
103|L	24.5481269943287	22.003885605432	20.636751825498	23.6311538248709	20.4306351552381	20.5799845295071
104|L	22.2757258009999	NA	23.0565855322021	23.184619646852	NA	23.2750768528192
105|L	21.8934538256468	24.9241742263403	NA	NA	24.3325156943279	NA
106|L	21.8934538256468	24.9241742263403	NA	NA	24.3325156943279	NA
107|L	NA	NA	NA	NA	19.7077456399677	NA
108|L	NA	NA	NA	NA	19.7077456399677	NA
109|L	NA	NA	NA	NA	19.7077456399677	NA
110|L	27.3688978434556	17.419752757603	NA	26.9421348384958	18.4139889522154	NA
111|L	NA	19.3519737211018	NA	NA	20.9625653266683	NA
112|L	21.4190768343926	19.0799937849076	NA	NA	20.0863974963501	NA
116|L	NA	20.6734140714987	NA	NA	21.2380558255889	NA
117|L	NA	NA	NA	23.8123922728641	21.1143455781107	NA
118|L	NA	24.4669468786303	NA	20.5735395745663	25.7425411266276	NA
120|L	NA	18.7202079220443	NA	19.8756633137585	18.6598310774645	NA
121|L	19.8093615130498	NA	NA	16.4094217355793	NA	20.8677587539587
122|L	NA	18.5773889012197	NA	NA	19.6024633069808	NA
124|L	NA	23.6441681658672	NA	NA	NA	NA
125|L	NA	23.1624723014282	NA	NA	24.1499345443376	NA
128|L	NA	18.6513405154325	NA	21.2194966987432	18.1749130255479	17.7805103167225
129|L	22.2759326983243	22.4334988300932	21.3405295072399	23.2003892379405	22.2626964840987	NA
130|L	21.7486692664622	16.7959158354206	NA	20.3940433111715	NA	NA
132|L	23.4334490065186	23.1965812856035	NA	NA	19.6378811230291	NA
133|L	21.4675067619366	NA	NA	NA	NA	NA
134|L	21.4675067619366	NA	NA	NA	NA	NA
135|L	21.4675067619366	NA	NA	NA	NA	NA
136|L	24.1508813277696	23.4629031390887	23.3711615428238	23.5390731786209	23.5932081622918	NA
137|L	NA	NA	NA	NA	15.6071591197607	NA
138|L	NA	NA	NA	NA	19.2306839015959	NA
140|L	NA	17.7364765122364	NA	NA	NA	NA
141|L	NA	19.7546342131244	NA	NA	21.188727198487	18.4430089307995
