X	intensity_IB_1_24	intensity_IB2_1_24	intensity_KR_1_24	intensity_IB_30_6	intensity_IB2_30_6	intensity_KR_30_6
0|L	NA	20.2050314928077	NA	NA	21.5719669102293	NA
1|L	26.5070542472999	NA	29.2793952817395	NA	NA	NA
2|L	26.5070542472999	NA	29.2793952817395	NA	NA	NA
3|L	NA	24.7707076194865	21.1218551891525	22.5413106770563	17.2049078642005	NA
4|L	NA	NA	NA	NA	NA	25.1582483373079
5|L	24.3474295223098	25.7684797314246	23.8421899682219	25.6749078994573	24.9575328021701	26.0820209220188
7|L	NA	22.3603596297981	NA	NA	NA	NA
8|L	NA	NA	NA	22.0737407015157	18.5312885788958	NA
9|L	NA	NA	22.7311370723927	22.0737407015157	18.5312885788958	NA
10|L	NA	NA	NA	NA	16.2062040152376	NA
11|L	20.240455349844	NA	NA	NA	NA	NA
12|L	20.240455349844	NA	NA	NA	NA	NA
13|L	28.571026059612	28.7291014047259	28.5673098395354	28.7973710925273	29.1606152609156	27.5998221916165
15|L	24.9338605450289	23.6347867906052	NA	26.1824878996927	20.9634863896608	NA
16|L	24.2041940574279	20.6554078726441	NA	NA	NA	25.9613642982193
17|L	NA	NA	22.824372293886	NA	21.5118299387136	NA
18|L	NA	23.6722239925392	NA	NA	NA	NA
19|L	23.7982638678595	26.2932454339395	25.6624023556819	25.8687957734554	26.550334625336	22.4152976654494
21|L	NA	17.5743287667207	NA	NA	NA	23.2084487083003
22|L	23.1230074429887	25.1232185775077	NA	NA	24.9895272903021	19.7642599389923
23|L	NA	22.6726662129799	NA	NA	21.863145964032	NA
24|L	NA	22.6726662129799	NA	NA	21.863145964032	NA
25|L	NA	25.1227871119288	24.3357436526993	23.2401755850753	23.3984989903388	NA
26|L	NA	NA	24.8133299029593	21.8154443409004	23.7049433299608	26.0647563183564
27|L	NA	24.5256274215602	25.6950892769411	22.2185272863516	24.0730664239104	24.1035645095112
28|L	NA	28.7687095697302	25.6660094419982	NA	27.6566158962986	23.539361090252
29|L	21.4481605582464	26.7513692763511	23.866027864543	23.8144409328924	24.0225670107921	26.0141480954524
30|L	NA	NA	NA	24.0830865488237	NA	NA
31|L	NA	NA	25.0911265858569	NA	NA	NA
32|L	NA	NA	25.0911265858569	NA	NA	NA
33|L	29.1856856592415	32.1687762478324	29.1559522142222	25.9552317153494	33.1490535332036	30.6279279798697
34|L	NA	22.6264409111907	26.9925856838733	NA	NA	25.2091045764453
35|L	32.2348694895847	32.6429632153076	33.1781492548127	32.9760344170822	32.46942567455	31.5392340678595
36|L	33.148441997868	34.0651333516462	33.8170693642703	33.6382884855024	33.0752615174446	32.3339878966132
37|L	31.1803750112645	28.9929475779128	31.8676561049241	30.3043272268707	30.1973282396232	29.0306505565311
38|L	31.5806174582528	32.4484278776161	32.5523864481986	32.5247632560572	31.9095541547917	30.7557166734526
40|L	26.8097677134342	29.5024828822056	28.4329576309584	27.0307380105128	28.4532816329558	29.1457217500917
41|L	NA	NA	NA	NA	21.7168099833435	NA
42|L	NA	NA	18.5883719453358	22.1517186114965	NA	NA
43|L	NA	NA	NA	NA	23.1842721997035	NA
44|L	NA	23.1748255065653	NA	NA	NA	NA
45|L	NA	21.9697987546192	NA	NA	NA	NA
46|L	NA	NA	NA	NA	NA	28.6367279805578
47|L	NA	20.068196307315	NA	NA	21.8909338986839	NA
48|L	NA	22.5733270383452	NA	NA	NA	NA
49|L	NA	22.5733270383452	NA	NA	NA	NA
53|L	NA	NA	NA	NA	NA	22.2386244075248
55|L	NA	26.2631369055901	26.4970800027165	23.0280975449574	23.4820266671521	24.9878987446542
56|L	NA	NA	29.7469042442893	26.1143495566013	19.3483938434042	28.6129985602813
57|L	NA	NA	NA	23.660471037096	NA	NA
58|L	NA	NA	NA	NA	21.0713543604347	NA
59|L	NA	24.4070551965272	NA	NA	24.0953109429139	NA
60|L	NA	NA	20.6509667237087	NA	NA	NA
61|L	NA	NA	NA	NA	25.5579478094459	NA
62|L	NA	NA	NA	NA	25.5579478094459	NA
63|L	22.2396708388481	21.4373510823619	21.6903449254854	25.6811478614086	19.4028999535916	NA
64|L	NA	NA	NA	NA	NA	22.683523175656
66|L	NA	20.8066192175867	NA	NA	NA	NA
67|L	NA	20.8066192175867	NA	NA	NA	NA
68|L	24.9859712333018	NA	NA	26.6385644339983	NA	NA
69|L	24.983013690488	NA	NA	26.7245914243114	NA	NA
70|L	24.3757995014445	28.4537132594233	27.4255082599872	23.2655537813227	27.2497379958063	28.0916958878389
74|L	NA	NA	NA	18.7807758163633	NA	NA
75|L	NA	23.0628531802545	NA	NA	20.8892619497821	NA
76|L	NA	24.1127733054098	NA	NA	24.0542362510693	20.3282737907888
77|L	NA	23.302482281076	NA	NA	24.7751878863904	NA
78|L	NA	23.4140661632544	NA	24.3989371323215	25.2319029151733	NA
79|L	29.1149244677602	NA	NA	30.5092210578298	25.6675274748489	NA
81|L	23.7874270675016	22.0989981459038	20.7651474836373	NA	NA	NA
82|L	NA	24.1390038682985	NA	25.3775733085717	24.0679132580952	23.446474678655
83|L	NA	19.8510925675286	NA	NA	21.6071836681235	NA
84|L	NA	25.1036919540364	NA	NA	NA	18.8888713108725
85|L	NA	20.9827115350267	18.9482693488397	NA	21.472008593391	NA
86|L	23.165150637201	26.01401596516	23.0508596002566	23.9599626611486	25.0110253889094	23.633484024866
87|L	NA	22.0611578069034	NA	NA	NA	NA
88|L	NA	NA	23.3474720989417	NA	NA	NA
89|L	NA	NA	21.447786289183	NA	NA	22.9081643636704
90|L	NA	15.1464819732311	NA	NA	13.0213312397656	NA
91|L	NA	15.1464819732311	NA	NA	13.0213312397656	NA
92|L	26.0089918271439	NA	NA	NA	NA	NA
93|L	NA	24.4344044369447	NA	NA	23.7528835166672	NA
94|L	NA	22.625019836667	NA	NA	24.4402376771614	NA
95|L	NA	NA	NA	NA	NA	27.0315458658784
96|L	NA	NA	NA	NA	NA	27.0315458658784
97|L	22.6665338578121	24.2593635288791	NA	NA	23.7860964721631	NA
98|L	24.3154565957538	24.7774620900738	25.2901197762606	24.9409450760828	23.281295838974	26.5293358486481
99|L	24.8648458032974	23.5026798001372	28.3458382670237	25.0434120986388	22.8845923718101	26.5311005027468
100|L	NA	22.9702784803078	NA	NA	21.6948796466161	NA
101|L	NA	22.8510925675286	NA	NA	21.8433455639415	NA
102|L	25.7827931204668	24.1190964088649	24.8859849231351	26.0614631355188	21.9144543033051	25.3634572998044
103|L	25.5092401168254	24.2149499862304	21.1219844918675	24.9137846182814	22.3075370922461	20.8901129215151
104|L	23.2368389234969	NA	23.5418181985709	24.4672504402626	NA	23.5852052448271
105|L	22.8545669481439	27.135238607149	NA	NA	26.2094176313328	NA
106|L	22.8545669481439	27.135238607149	NA	NA	26.2094176313328	NA
107|L	NA	NA	NA	NA	21.5846475769778	NA
108|L	NA	NA	NA	NA	21.5846475769778	NA
109|L	NA	NA	NA	NA	21.5846475769778	NA
110|L	28.3300109659522	19.6308171381284	NA	28.224765631906	20.2908908892333	NA
111|L	NA	21.5630381018375	NA	NA	22.8394672636752	NA
112|L	22.3801899568899	21.2910581656278	NA	NA	21.9632994333589	NA
116|L	NA	22.8844784522791	NA	NA	23.1149577625955	NA
117|L	NA	NA	NA	25.0950230662745	22.9912475151174	NA
118|L	NA	26.6780112594384	NA	21.8561703679786	27.6194430636324	NA
120|L	NA	20.9312723027391	NA	21.1582941071722	20.5367330144803	NA
121|L	20.7704746355486	NA	NA	17.6920525290259	NA	21.1778871459667
122|L	NA	20.7884532819024	NA	NA	21.4793652439913	NA
124|L	NA	25.8552325466736	NA	NA	NA	NA
125|L	NA	25.3735366822331	NA	NA	26.0268364813426	NA
128|L	NA	20.8624048961215	NA	22.5021274921548	20.0518149625681	18.0906387087313
129|L	23.2370458208213	24.6445632108947	21.825762173609	24.4830200313511	24.1395984211044	NA
130|L	22.7097823889593	19.0069802157914	NA	21.6766741045841	NA	NA
132|L	24.3945621290154	25.4076456664085	NA	NA	21.5147830600395	NA
133|L	22.4286198844339	NA	NA	NA	NA	NA
134|L	22.4286198844339	NA	NA	NA	NA	NA
135|L	22.4286198844339	NA	NA	NA	NA	NA
136|L	25.1119944502663	25.6739675198947	23.8563942091925	24.8217039720314	25.4701100992969	NA
137|L	NA	NA	NA	NA	17.4840610568516	NA
138|L	NA	NA	NA	NA	21.1075858386081	NA
140|L	NA	19.947540892818	NA	NA	NA	NA
141|L	NA	21.9656985938783	NA	NA	23.0656291354936	18.753137322808
142|L	21.5557139048258	23.9746685485518	20.9123947519472	NA	23.3830763841716	NA
143|L	NA	20.8013084575528	NA	NA	21.3585586074386	NA
144|L	26.6296242859808	27.1587105180717	25.1733594009978	28.18016715239	28.0564254986581	25.017896196659
145|L	28.9039498293105	29.9018451310469	29.9248491781963	30.8396223427772	30.2082702486474	27.2961084743517
148|L	24.9807606605189	25.9932180655598	NA	23.48839320345	25.2278959323046	18.9402510406163
149|L	NA	NA	NA	NA	22.8150697210294	NA
150|L	NA	NA	NA	NA	22.8150697210294	NA
151|L	26.1598131659763	25.3321777877009	24.4775546855202	25.5520974729726	25.1814370633664	NA
152|L	21.8683093054229	26.1629135655918	22.5249877301006	NA	25.7013747256053	20.250221313881
155|L	NA	16.407933727991	NA	24.266756929621	NA	NA
156|L	NA	16.407933727991	NA	24.266756929621	NA	NA
158|L	NA	20.9154826035245	NA	NA	NA	NA
159|L	23.812633737093	25.7597186319388	26.2156251279748	23.5144565551565	26.2255229279698	26.2051988964603
160|L	NA	NA	NA	NA	NA	26.294590926811
161|L	NA	NA	NA	NA	20.0008544370806	NA
162|L	NA	NA	NA	NA	NA	23.8604472565079
163|L	23.4073040944443	25.1988871771885	20.9951600608394	NA	23.7402544225796	NA
164|L	NA	NA	29.8747735839114	NA	NA	29.0197343741752
165|L	26.8332224796944	24.1162454102702	NA	25.6446393389213	23.8668987495719	NA
172|L	NA	18.6008597286324	NA	NA	NA	NA
173|L	NA	22.5699547766704	23.5714730796504	NA	21.9622473524981	23.448851126296
175|L	22.956590592791	28.1387993902256	19.9996706889698	23.1254842020944	27.8494359849389	20.9370655595954
176|L	NA	22.4989164382218	NA	NA	20.5497724710497	NA
177|L	NA	23.8704115846377	NA	24.2116591073748	21.7954471231725	NA
178|L	NA	NA	NA	NA	23.3521738676939	NA
179|L	NA	NA	NA	NA	23.3521738676939	NA
180|L	NA	NA	NA	NA	23.3521738676939	NA
181|L	21.1961928007504	22.6128838509292	NA	NA	22.0450732817371	18.3800939121938
182|L	NA	22.3461373148441	NA	NA	24.0676687035753	NA
183|L	NA	21.6548906992174	NA	NA	21.731841783954	NA
185|L	NA	NA	NA	NA	22.4504446783887	NA
186|L	NA	21.408873070192	NA	21.3763086734995	21.8611404797252	NA
187|L	25.393007863057	NA	NA	NA	20.5333995559754	NA
188|L	NA	24.3175164124735	NA	25.2847738584297	24.8556424573231	NA
189|L	23.8385669707286	NA	22.8553252222149	22.5033733164169	21.6559626366297	NA
190|L	24.8055015712831	23.6785495693597	22.9770109270683	25.6027830948554	23.4590061985863	21.8840074631703
191|L	25.4532183789307	24.9075391720226	25.1586825851521	26.2340990031356	25.7729562360501	22.7919023346177
192|L	23.5124058931758	18.088713432048	NA	NA	NA	NA
193|L	23.5124058931758	25.114456149738	NA	NA	26.3394675546255	24.1960443125226
194|L	25.0343021255252	NA	NA	24.7150374812281	NA	NA
195|L	NA	26.0451831108819	NA	NA	26.2630897556699	NA
196|L	NA	25.7433222114863	NA	NA	26.0888717010871	NA
197|L	20.0648225941707	NA	NA	NA	NA	NA
198|L	NA	NA	21.4464703970228	NA	NA	NA
199|L	NA	20.523814788634	24.7597249225619	NA	20.0378117500728	19.8425604746711
200|L	NA	25.3102400014974	21.9784398686643	24.7511181619496	25.3297562019324	NA
201|L	NA	NA	NA	NA	19.3269753186382	NA
202|L	NA	NA	22.2516442677818	NA	NA	NA
203|L	NA	20.1616119299656	25.4553903958476	NA	NA	25.6986922824673
204|L	NA	NA	28.6478305241275	NA	NA	28.1104902089112
205|L	NA	23.4599929030947	NA	NA	24.2785278753455	NA
206|L	NA	21.117307073131	NA	NA	26.1181626437362	NA
207|L	NA	21.117307073131	NA	NA	25.1245772504659	NA
208|L	NA	23.9205471832862	NA	NA	25.7045239520239	NA
209|L	NA	NA	NA	23.5554980230917	NA	NA
210|L	22.433177823513	NA	NA	NA	NA	NA
211|L	NA	25.9778927162724	NA	NA	25.9981079760306	NA
212|L	NA	25.9778927162724	NA	NA	25.9981079760306	NA
213|L	NA	19.7728816589108	NA	NA	NA	NA
214|L	28.1890481768174	29.1466465285505	29.6141500219223	28.4431283926688	29.0008857462153	27.5126005123603
215|L	NA	20.7586590871858	NA	NA	NA	NA
216|L	NA	20.7586590871858	NA	NA	NA	NA
217|L	24.3124654352413	NA	NA	23.8890748940614	NA	NA
218|L	NA	22.1831264215308	NA	NA	20.9914194248399	NA
219|L	NA	18.2664981606115	NA	NA	NA	NA
220|L	NA	NA	NA	21.5923172520676	19.8736789999935	NA
221|L	NA	22.1514666103325	NA	NA	21.4462869326139	NA
222|L	NA	22.3802307751101	NA	NA	21.1428883850339	NA
223|L	25.4256866964479	23.2313530012561	NA	27.227008063347	24.3267391730659	NA
224|L	28.3470941065524	28.5009273225283	27.8869363336326	29.4699821125564	29.164193868535	25.6566163114587
225|L	28.3613106085329	28.543693379612	27.7603675180678	29.2759466379714	29.178341537849	25.732592799087
226|L	24.2370458208213	27.375379147023	26.2575156245485	23.8429536206348	25.8927603768961	NA
227|L	27.5329316876619	27.3731134892665	27.6992589676784	27.4513859362205	27.6954952997047	28.1292071490514
229|L	NA	NA	NA	22.5806385679862	NA	NA
231|L	22.65921860818	18.5706045499847	NA	24.1841603497068	20.3137279404172	NA
232|L	22.6655042668676	27.3835061800111	23.715530427908	25.5866390749938	27.8916095046244	22.5702142510587
233|L	26.0885095869655	26.4942539848165	23.5232142879094	24.3279194308119	26.7283563688082	25.1448354830171
234|L	22.2157459665219	21.9048983420477	NA	26.5775780287476	24.830654740008	22.5768182720301
237|L	23.3700567683246	22.3714194749335	NA	22.6715415989154	20.9405207425536	NA
239|L	25.3498469995717	31.0208644100378	26.3656388848915	23.73712388441	31.8191270736638	21.9172721769167
240|L	25.8094373206096	26.3727355334757	23.7779949687033	26.0205750161906	26.272551636058	20.1747228325265
242|L	NA	NA	NA	23.0553667548838	NA	NA
243|L	NA	20.7808890345693	NA	NA	24.6198230482598	NA
244|L	NA	20.7808890345693	NA	NA	24.5349375203775	NA
247|L	NA	19.3830919066275	NA	NA	NA	26.2086522854969
