X	intensity_IB_1_24	intensity_IB2_1_24	intensity_KR_1_24	intensity_IB_30_6	intensity_IB2_30_6	intensity_KR_30_6
0|L	NA	2654500	NA	NA	9412900	NA
1|L	13454000	NA	127430000	NA	NA	NA
2|L	13454000	NA	127430000	NA	NA	NA
3|L	NA	62862000	446280	725530	456150	NA
4|L	NA	NA	NA	NA	NA	12319000
5|L	3011200	125530000	2941100	6367400	98374000	23370000
7|L	NA	11825000	NA	NA	NA	NA
8|L	NA	NA	NA	524690	1143900	NA
9|L	NA	NA	1361600	524690	1143900	NA
10|L	NA	NA	NA	NA	228280	NA
11|L	174750	NA	NA	NA	NA	NA
12|L	174750	NA	NA	NA	NA	NA
13|L	56256000	977200000	77788000	55452000	1811900000	66921000
15|L	4521400	28605000	NA	9052300	6173800	NA
16|L	2726600	3627100	NA	NA	NA	21495000
17|L	NA	NA	1452500	NA	9028600	NA
18|L	NA	29357000	NA	NA	NA	NA
19|L	2057900	180600000	10386000	7283300	296730000	1840200
21|L	NA	428610	NA	NA	NA	3188800
22|L	1288700	80261000	NA	NA	100580000	292970
23|L	NA	14683000	NA	NA	11518000	NA
24|L	NA	14683000	NA	NA	11518000	NA
25|L	NA	80237000	4140800	1177700	33386000	NA
26|L	NA	NA	5765700	438680	41287000	23092000
27|L	NA	53041000	10624000	580080	53288000	5930400
28|L	NA	1004400000	10412000	NA	638830000	4010900
29|L	403620	248100000	2990100	1753500	51455000	22296000
30|L	NA	NA	NA	2112400	NA	NA
31|L	NA	NA	6990000	NA	NA	NA
32|L	NA	NA	6990000	NA	NA	NA
33|L	86139000	1.0603e+10	116980000	7733000	2.8759e+10	545900000
34|L	NA	14220000	26114000	NA	NA	12761000
35|L	713010000	1.4729e+10	1900700000	1004200000	1.7955e+10	1026700000
36|L	1343100000	3.9472e+10	2959700000	1589200000	2.7325e+10	1781100000
37|L	343290000	1173300000	766330000	157600000	3717200000	180420000
38|L	453050000	1.2871e+10	1231800000	734470000	1.218e+10	596460000
40|L	16595000	1670300000	70871000	16297000	1109700000	195400000
41|L	NA	NA	NA	NA	10407000	NA
42|L	NA	NA	77082	553830	NA	NA
43|L	NA	NA	NA	NA	28779000	NA
44|L	NA	20796000	NA	NA	NA	NA
45|L	NA	9020500	NA	NA	NA	NA
46|L	NA	NA	NA	NA	NA	137310000
47|L	NA	2414300	NA	NA	11742000	NA
48|L	NA	13706000	NA	NA	NA	NA
49|L	NA	13706000	NA	NA	NA	NA
53|L	NA	NA	NA	NA	NA	1628100
55|L	NA	176870000	18523000	1016700	35376000	10947000
56|L	NA	NA	176200000	8634700	2015400	135070000
57|L	NA	NA	NA	1576000	NA	NA
58|L	NA	NA	NA	NA	6653100	NA
59|L	NA	48856000	NA	NA	54116000	NA
60|L	NA	NA	322000	NA	NA	NA
61|L	NA	NA	NA	NA	149150000	NA
62|L	NA	NA	NA	NA	149150000	NA
63|L	698620	6236600	661820	6395000	2093000	NA
64|L	NA	NA	NA	NA	NA	2216200
66|L	NA	4027900	NA	NA	NA	NA
67|L	NA	4027900	NA	NA	NA	NA
68|L	4687700	NA	NA	12418000	NA	NA
69|L	4678100	NA	NA	13181000	NA	NA
70|L	3071000	807390000	35253000	1198600	481840000	94109000
74|L	NA	NA	NA	53533	NA	NA
75|L	NA	19243000	NA	NA	5864200	NA
76|L	NA	39841000	NA	NA	52597000	433120
77|L	NA	22720000	NA	NA	86694000	NA
78|L	NA	24547000	NA	2629400	118980000	NA
79|L	82016000	NA	NA	181650000	160920000	NA
81|L	2042500	9865600	348520	NA	NA	NA
82|L	NA	40572000	NA	5181500	53098000	3760800
83|L	NA	2077000	NA	NA	9645500	NA
84|L	NA	79182000	NA	NA	NA	159700
85|L	NA	4550800	98922	NA	8782800	NA
86|L	1326900	148820000	1699400	1939600	102090000	4281300
87|L	NA	9610200	NA	NA	NA	NA
88|L	NA	NA	2087300	NA	NA	NA
89|L	NA	NA	559400	NA	NA	2589600
90|L	NA	79654	NA	NA	25103	NA
91|L	NA	79654	NA	NA	25103	NA
92|L	9526200	NA	NA	NA	NA	NA
93|L	NA	49791000	NA	NA	42682000	NA
94|L	NA	14206000	NA	NA	68732000	NA
95|L	NA	NA	NA	NA	NA	45133000
96|L	NA	NA	NA	NA	NA	45133000
97|L	939160	44102000	NA	NA	43676000	NA
98|L	2945200	63157000	8023800	3828400	30781000	31865000
99|L	4310200	26102000	66718000	4110200	23381000	31904000
100|L	NA	18047000	NA	NA	10250000	NA
101|L	NA	16616000	NA	NA	11361000	NA
102|L	8143800	40016000	6063500	8323900	11935000	14202000
103|L	6737200	42765000	446320	3757000	15673000	639350
104|L	1394500	NA	2388300	2756900	NA	4140400
105|L	1069900	323730000	NA	NA	234280000	NA
106|L	1069900	323730000	NA	NA	234280000	NA
107|L	NA	NA	NA	NA	9496000	NA
108|L	NA	NA	NA	NA	9496000	NA
109|L	NA	NA	NA	NA	9496000	NA
110|L	47601000	1782900	NA	37286000	3873300	NA
111|L	NA	6804300	NA	NA	22661000	NA
112|L	770090	5635200	NA	NA	12346000	NA
116|L	NA	17005000	NA	NA	27429000	NA
117|L	NA	NA	NA	4259900	25175000	NA
118|L	NA	235800000	NA	451240	622580000	NA
120|L	NA	4391400	NA	278180	4592900	NA
121|L	252330	NA	NA	25170	NA	780490
122|L	NA	3977500	NA	NA	8827700	NA
124|L	NA	133310000	NA	NA	NA	NA
125|L	NA	95468000	NA	NA	206430000	NA
128|L	NA	4186700	NA	706090	3281800	91836
129|L	1394700	57599000	726950	2787200	55803000	NA
130|L	967740	1157000	NA	398450	NA	NA
132|L	3111200	97752000	NA	NA	9047100	NA
133|L	796380	NA	NA	NA	NA	NA
134|L	796380	NA	NA	NA	NA	NA
135|L	796380	NA	NA	NA	NA	NA
136|L	5115600	117570000	2970200	3524700	140340000	NA
137|L	NA	NA	NA	NA	553530	NA
138|L	NA	NA	NA	NA	6822300	NA
140|L	NA	2220600	NA	NA	NA	NA
141|L	NA	8994900	NA	NA	26507000	145360
142|L	434860	36204000	385970	NA	33031000	NA
143|L	NA	4013100	NA	NA	8118600	NA
144|L	14647000	329040000	7400000	36151000	842830000	11177000
145|L	70858000	2.203e+09	199330000	228400000	3745500000	54217000
148|L	4670800	146690000	NA	1398800	118650000	165490
