mean|ud_vs_ud	mean|30m_vs_ud	mean|1h_vs_ud	mean|6h_vs_ud	mean|1d_vs_ud
>JUM_strawberry|junction_1:156733521-156734008:+|MSTRG.2665.3,MSTRG.2665.4,MSTRG.2665.5,MSTRG.2665.6,MSTRG.2665.7,MSTRG.2665.12,MSTRG.2665.13,MSTRG.2665.14,MSTRG.2665.15,MSTRG.2665.17,MSTRG.2665.18,MSTRG.2665.21,MSTRG.2665.26,MSTRG.2665.29,MSTRG.2665.30,MS	INF2	>JUM_strawberry|junction_8:140717710-140735250:-|MSTRG.37413.1,MSTRG.37413.3,MSTRG.37413.4,MSTRG.37413.5,MSTRG.37413.8,MSTRG.37413.9,MSTRG.37413.12,MSTRG.37413.13,MSTRG.37413.14,MSTRG.37413.15,MSTRG.37413.16,MSTRG.37413.17,MSTRG.37413.18,MSTRG.37413.22,MST	>JUM_strawberry|junction_1:86354860-86356443:-|MSTRG.1664.1,MSTRG.1664.2,MSTRG.1664.4,MSTRG.1664.8,MSTRG.1664.9,MSTRG.1664.11,MSTRG.1664.23,MSTRG.1664.26,MSTRG.1664.48,MSTRG.1664.52,MSTRG.1664.56,MSTRG.1664.58,MSTRG.1664.61,MSTRG.1664.66,MSTRG.1664.69,MSTR	>JUM_strawberry|junction_7:151079923-151080208:-|MSTRG.36001.15,MSTRG.36001.17,MSTRG.36001.27,MSTRG.36001.45,MSTRG.36001.52,MSTRG.36001.65,MSTRG.36001.72,MSTRG.36001.88,MSTRG.36001.105,MSTRG.36001.108,MSTRG.36001.115,MSTRG.36001.124,MSTRG.36001.142,MSTRG.3
>JUM_strawberry|junction_16:57772289-57794998:-|MSTRG.14419.2,MSTRG.14419.15,MSTRG.14419.16,MSTRG.14419.19,MSTRG.14419.39,MSTRG.14419.41,MSTRG.14419.43,MSTRG.14419.45,MSTRG.14419.63,MSTRG.14419.65,MSTRG.14419.72,MSTRG.14419.73,MSTRG.14419.75,MSTRG.14419.78	>JUM_strawberry|junction_3:180971156-180975312:+|MSTRG.27590.3,MSTRG.27590.9,MSTRG.27590.11,MSTRG.27590.12,MSTRG.27590.14,MSTRG.27590.15,MSTRG.27590.18,MSTRG.27590.19,MSTRG.27590.22,MSTRG.27590.25,MSTRG.27590.28,MSTRG.27590.29,MSTRG.27590.30 OS=Homo sapien	>JUM_strawberry|junction_20:38493133-38495778:+|MSTRG.23642.2,MSTRG.23642.7,MSTRG.23642.8,MSTRG.23642.10,MSTRG.23642.13,MSTRG.23642.17,MSTRG.23642.18,MSTRG.23642.22,MSTRG.23642.24,MSTRG.23642.25,MSTRG.23642.28,MSTRG.23642.30,MSTRG.23642.37 OS=Homo sapiens	>JUM_strawberry|junction_2:205766819-205792234:+|MSTRG.22472.2,MSTRG.22472.9,MSTRG.22472.17,MSTRG.22472.21	ACADM
COPS7B	>JUM_strawberry|junction_4:20704815-20712787:+|MSTRG.28266.2,MSTRG.28266.9,MSTRG.28266.20,MSTRG.28266.23,MSTRG.28266.40,MSTRG.28266.49,MSTRG.28266.51,MSTRG.28266.55,MSTRG.28266.57,MSTRG.28266.60,MSTRG.28266.68,MSTRG.28266.72,MSTRG.28266.74,MSTRG.28266.77,M	AAR2	ACACA	ADARB2
DDX49	>JUM_strawberry|junction_9:115042342-115046409:-|MSTRG.38842.1,MSTRG.38842.3,MSTRG.38842.5,MSTRG.38842.6,MSTRG.38842.7,MSTRG.38842.8,MSTRG.38842.9,MSTRG.38842.10,MSTRG.38842.11,MSTRG.38842.13,MSTRG.38842.14,MSTRG.38842.17,MSTRG.38842.21,MSTRG.38842.23,MSTR	ACO2	ACO2	ADD1
OLFML3	ABCG1	ACP2	ACSF2	AKTIP
PCSK4	ADAMTS10	ADPGK	ADCK2	ALDOA
PHF14	ADCY4	AGTPBP1	AGR2	ALMS1
PTPN2	AMOTL2	ANKK1	ANXA2	ANK2
RAPGEF6	ANXA2	ANKMY2	APEH	ANKRD6
RCC1	APEX2	ANXA8	ARAP2	ANKRD12
