X	intensity_IB_1_24	intensity_IB2_1_24	intensity_KR_1_24	intensity_IB_30_6	intensity_IB2_30_6	intensity_KR_30_6
0|L	NA	20.1047632657003	NA	NA	21.5314333706546	NA
1|L	27.5745600566328	NA	29.4071576978453	NA	NA	NA
2|L	27.5745600566328	NA	29.4071576978453	NA	NA	NA
3|L	NA	24.6704393923791	21.2496176052584	23.1704126627203	17.1643743246258	NA
4|L	NA	NA	NA	NA	NA	25.7570258588696
5|L	25.4149353316427	25.6682115043172	23.9699523843277	26.3040098851213	24.9169992625953	26.6807984435805
7|L	NA	22.2600914026907	NA	NA	NA	NA
8|L	NA	NA	NA	22.7028426871797	18.4907550393211	NA
9|L	NA	NA	22.8588994884986	22.7028426871797	18.4907550393211	NA
10|L	NA	NA	NA	NA	16.1656704756629	NA
11|L	21.3079611591769	NA	NA	NA	NA	NA
12|L	21.3079611591769	NA	NA	NA	NA	NA
13|L	29.6385318689449	28.6288331776185	28.6950722556412	29.4264730781913	29.1200817213408	28.1985997131783
15|L	26.0013663543618	23.5345185634978	NA	26.8115898853566	20.9229528500861	NA
16|L	25.2716998667608	20.5551396455367	NA	NA	NA	26.560141819781
17|L	NA	NA	22.9521347099919	NA	21.4712963991388	NA
18|L	NA	23.5719557654318	NA	NA	NA	NA
19|L	24.8657696771924	26.1929772068321	25.7901647717878	26.4978977591193	26.5098010857613	23.0140751870112
21|L	NA	17.4740605396133	NA	NA	NA	23.807226229862
22|L	24.1905132523216	25.0229503504003	NA	NA	24.9489937507273	20.363037460554
23|L	NA	22.5723979858725	NA	NA	21.8226124244573	NA
24|L	NA	22.5723979858725	NA	NA	21.8226124244573	NA
25|L	NA	25.0225188848214	24.4635060688051	23.8692775707392	23.3579654507641	NA
26|L	NA	NA	24.9410923190652	22.4445463265643	23.6644097903861	26.6635338399181
27|L	NA	24.4253591944528	25.8228516930469	22.8476292720156	24.0325328843356	24.7023420310729
28|L	NA	28.6684413426228	25.7937718581041	NA	27.6160823567239	24.1381386118137
29|L	22.5156663675793	26.6511010492437	23.9937902806489	24.4435429185564	23.9820334712174	26.6129256170142
30|L	NA	NA	NA	24.7121885344876	NA	NA
31|L	NA	NA	25.2188890019628	NA	NA	NA
32|L	NA	NA	25.2188890019628	NA	NA	NA
33|L	30.2531914685744	32.068508020725	29.283714630328	26.5843337010134	33.1085199936288	31.2267055014315
34|L	NA	22.5261726840833	27.1203480999792	NA	NA	25.8078820980071
35|L	33.3023752989176	32.5426949882002	33.3059116709186	33.6051364027462	32.4288921349753	32.1380115894212
36|L	34.2159478072009	33.9648651245387	33.9448317803761	34.2673904711664	33.0347279778699	32.9327654181749
37|L	32.2478808205975	28.8926793508054	31.9954185210299	30.9334292125347	30.1567947000485	29.6294280780929
38|L	32.6481232675857	32.3481596505087	32.6801488643045	33.1538652417212	31.869020615217	31.3544941950143
40|L	27.8772735227672	29.4022146550982	28.5607200470642	27.6598399961768	28.4127480933811	29.7444992716535
41|L	NA	NA	NA	NA	21.6762764437687	NA
42|L	NA	NA	18.7161343614416	22.7808205971605	NA	NA
43|L	NA	NA	NA	NA	23.1437386601288	NA
44|L	NA	23.0745572794579	NA	NA	NA	NA
45|L	NA	21.8695305275118	NA	NA	NA	NA
46|L	NA	NA	NA	NA	NA	29.2355055021195
47|L	NA	19.9679280802076	NA	NA	21.8504003591092	NA
48|L	NA	22.4730588112378	NA	NA	NA	NA
49|L	NA	22.4730588112378	NA	NA	NA	NA
53|L	NA	NA	NA	NA	NA	22.8374019290865
55|L	NA	26.1628686784827	26.6248424188224	23.6571995306214	23.4414931275774	25.586676266216
56|L	NA	NA	29.8746666603951	26.7434515422652	19.3078603038295	29.211776081843
57|L	NA	NA	NA	24.2895730227599	NA	NA
58|L	NA	NA	NA	NA	21.03082082086	NA
