id	1h_vs_ud - 30m_vs_ud	6h_vs_ud - 30m_vs_ud	1d_vs_ud - 30m_vs_ud	6h_vs_ud - 1h_vs_ud	1d_vs_ud - 1h_vs_ud	1d_vs_ud - 6h_vs_ud
3	0.255482275264209	0.109895639336075	0.256525448932983	-0.145586635928134	0.00104317366877427	0.146629809596908
4	0.202201663364209	0.112138506002742	0.232731460332983	-0.0900631573614673	0.0305297969687743	0.120592954330242
5	0.370253560740876	-0.00124089558725832	0.23724624970965	-0.371494456328134	-0.133007311031226	0.238487145296908
11941	0.372207680764209	0.307330509836075	0.224635119266317	-0.064877170928134	-0.147572561497892	-0.0826953905697583
29	-1.0560832216446	-0.334561854519841	-0.457808265628511	0.721521367124763	0.598274956016093	-0.12324641110867
45_1	-0.242369559441842	-0.279840424690008	-0.254735800497773	-0.037470865248166	-0.0123662410559311	0.0251046241922349
69	0.269413356433616	0.245318931101088	-0.00729471933858078	-0.0240944253325276	-0.276708075772197	-0.252613650439669
73	0.514182913369049	0.345256228786077	0.0204992993658861	-0.168926684582972	-0.493683614003163	-0.324756929420191
76	-1.96348484217217	-3.07068718535832	-1.16698422738891	-1.10720234318615	0.796500614783254	1.90370295796941
77	-0.909833983494443	0.788259881107811	-0.251144875028017	1.69809386460225	0.658689108466426	-1.03940475613583
80_1	0.0581940039567987	0.962926593456044	-0.431112602862567	0.904732589499245	-0.489306606819366	-1.39403919631861
82	-0.102120947576535	0.400914230789377	0.479315568537433	0.503035178365912	0.581436516113968	0.0784013377480557
83	-0.253775858909868	-0.55349487037729	-0.898940353262567	-0.299719011467422	-0.645164494352699	-0.345445482885276
84	-0.977844044509868	0.54882450282271	-1.4486735296959	1.52666854733258	-0.470829485186032	-1.99749803251861
85	-0.0360556828098683	-0.669263729577291	-0.940227666029234	-0.633208046767422	-0.904171983219365	-0.270963936451943
86	0.0656223243225257	-0.0888585937175455	-0.895185690910748	-0.154480918040071	-0.960808015233273	-0.806327097193202
97	0.373375188413045	0.545526967282436	0.256178490924134	0.172151778869391	-0.117196697488911	-0.289348476358302
11964	0.383102119259529	0.481537596826319	0.333583024749947	0.0984354775667899	-0.0495190945095817	-0.147954572076372
100	0.485484806711513	0.116842742395914	0.521663913402082	-0.3686420643156	0.0361791066905686	0.404821171006168
105	0.571733267169613	-0.591629185784397	-0.0658648761883849	-1.16336245295401	-0.637598143357998	0.525764309596012
107_1	-0.114099402256398	-0.756711382147246	-0.728749608470819	-0.642611979890848	-0.614650206214421	0.0279617736764264
109_1	0.800103549943602	0.197563127852754	0.0396520084291809	-0.602540422090848	-0.760451541514421	-0.157911119423573
108_2	-0.707669052158326	-0.736066962621543	-0.326919395258514	-0.0283979104632177	0.380749656899812	0.409147567363029
107_2	-0.150030568521164	-0.273539523838171	-0.295606531403775	-0.123508955317008	-0.145575962882612	-0.0220670075656038
