X	intensity_IB_1_24	intensity_IB2_1_24	intensity_KR_1_24	intensity_IB_30_6	intensity_IB2_30_6	intensity_KR_30_6
0|L	NA	21.3400087107858	NA	NA	23.1662078375555	NA
1|L	23.6815318274934	NA	26.9251297208074	NA	NA	NA
2|L	23.6815318274934	NA	26.9251297208074	NA	NA	NA
3|L	NA	25.9056848374647	18.7675896282205	19.4686757440788	18.7991487915267	NA
4|L	NA	NA	NA	NA	NA	23.5543818136214
5|L	21.5219071025033	26.9034569494028	21.4879244072899	22.6022729664798	26.5517737294962	24.4781543983323
7|L	NA	23.4953368477762	NA	NA	NA	NA
8|L	NA	NA	NA	19.0011057685382	20.125529506222	NA
9|L	NA	NA	20.3768715114607	19.0011057685382	20.125529506222	NA
10|L	NA	NA	NA	NA	17.8004449425638	NA
11|L	17.4149329300375	NA	NA	NA	NA	NA
12|L	17.4149329300375	NA	NA	NA	NA	NA
13|L	25.7455036398055	29.8640786227041	26.2130442786033	25.7247361595498	30.7548561882417	25.99595566793
15|L	22.1083381252224	24.7697640085834	NA	23.1098529667151	22.557727316987	NA
16|L	21.3786716376214	21.7903850906222	NA	NA	NA	24.3574977745328
17|L	NA	NA	20.470106732954	NA	23.1060708660397	NA
18|L	NA	24.8072012105173	NA	NA	NA	NA
19|L	20.972741448053	27.4282226519177	23.3081367947499	22.7961608404778	28.1445755526622	20.8114311417629
21|L	NA	18.7093059846988	NA	NA	NA	21.6045821846138
22|L	20.2974850231822	26.2581957954859	NA	NA	26.5837682176282	18.1603934153058
23|L	NA	23.807643430958	NA	NA	23.4573868913582	NA
24|L	NA	23.807643430958	NA	NA	23.4573868913582	NA
25|L	NA	26.257764329907	21.9814780917672	20.1675406520978	24.992739917665	NA
26|L	NA	NA	22.4590643420273	18.7428094079229	25.299184257287	24.4608897946699
27|L	NA	25.6606046395384	23.340823716009	19.1458923533741	25.6673073512365	22.4996979858247
28|L	NA	29.9036867877083	23.3117438810662	NA	29.2508568236247	21.9354945665655
29|L	18.6226381384399	27.8863464943292	21.511762303611	20.7418059999149	25.6168079381183	24.4102815717659
30|L	NA	NA	NA	21.0104516158462	NA	NA
31|L	NA	NA	22.7368610249249	NA	NA	NA
32|L	NA	NA	22.7368610249249	NA	NA	NA
33|L	26.360163239435	33.3037534658105	26.8016866532901	22.8825967823719	34.7432944605297	29.0240614561832
34|L	NA	23.7614181291689	24.6383201229413	NA	NA	23.6052380527588
35|L	29.4093470697782	33.7779404332858	30.8238836938807	29.9033994841047	34.0636666018762	29.935367544173
36|L	30.3229195780615	35.2001105696243	31.4628038033383	30.5656535525249	34.6695024447708	30.7301213729266
37|L	28.3548525914581	30.1279247958909	29.513390543992	27.2316922938932	31.7915691669494	27.4267840328446
38|L	28.7550950384463	33.5834050955942	30.1981208872666	29.4521283230797	33.5037950821179	29.1518501497661
40|L	23.9842452936278	30.6374601001837	26.0786920700264	23.9581030775353	30.047522560282	27.5418552264052
41|L	NA	NA	NA	NA	23.3110509106696	NA
42|L	NA	NA	16.2341063844037	19.079083678519	NA	NA
43|L	NA	NA	NA	NA	24.7785131270296	NA
44|L	NA	24.3098027245434	NA	NA	NA	NA
45|L	NA	23.1047759725973	NA	NA	NA	NA
46|L	NA	NA	NA	NA	NA	27.0328614568713
47|L	NA	21.2031735252932	NA	NA	23.48517482601	NA
48|L	NA	23.7083042563234	NA	NA	NA	NA
49|L	NA	23.7083042563234	NA	NA	NA	NA
53|L	NA	NA	NA	NA	NA	20.6347578838383
55|L	NA	27.3981141235683	24.1428144417845	19.9554626119799	25.0762675944783	23.3840322209677
56|L	NA	NA	27.3926386833572	23.0417146236237	20.9426347707304	27.0091320365948
57|L	NA	NA	NA	20.5878361041185	NA	NA
58|L	NA	NA	NA	NA	22.6655952877609	NA
59|L	NA	25.5420324145053	NA	NA	25.6895518702401	NA
60|L	NA	NA	18.2967011627767	NA	NA	NA
61|L	NA	NA	NA	NA	27.152188736772	NA
62|L	NA	NA	NA	NA	27.152188736772	NA
63|L	19.4141484190416	22.57232830034	19.3360793645533	22.6085129284311	20.9971408809178	NA
64|L	NA	NA	NA	NA	NA	21.0796566519695
66|L	NA	21.9415964355649	NA	NA	NA	NA
67|L	NA	21.9415964355649	NA	NA	NA	NA
68|L	22.1604488134953	NA	NA	23.5659295010208	NA	NA
69|L	22.1574912706815	NA	NA	23.6519564913339	NA	NA
70|L	21.550277081638	29.5886904774014	25.0712426990551	20.1929188483452	28.8439789231324	26.4878293641524
74|L	NA	NA	NA	15.7081408833857	NA	NA
75|L	NA	24.1978303982326	NA	NA	22.4835028771083	NA
76|L	NA	25.247750523388	NA	NA	25.6484771783954	18.7244072671023
77|L	NA	24.4374594990541	NA	NA	26.3694288137165	NA
78|L	NA	24.5490433812326	NA	21.326302199344	26.8261438424995	NA
79|L	26.2894020479537	NA	NA	27.4365861248523	27.2617684021751	NA
81|L	20.9619046476951	23.2339753638819	18.4108819227053	NA	NA	NA
82|L	NA	25.2739810862766	NA	22.3049383755941	25.6621541854213	21.8426081549685
83|L	NA	20.9860697855067	NA	NA	23.2014245954496	NA
84|L	NA	26.2386691720145	NA	NA	NA	17.285004787186
85|L	NA	22.1176887530048	16.5940037879076	NA	23.0662495207172	NA
86|L	20.3396282173945	27.1489931831382	20.6965940393245	20.8873277281711	26.6052663162356	22.0296175011795
87|L	NA	23.1961350248815	NA	NA	NA	NA
88|L	NA	NA	20.9932065380096	NA	NA	NA
89|L	NA	NA	19.0935207282509	NA	NA	21.3042978399839
90|L	NA	16.2814591912092	NA	NA	14.6155721670917	NA
91|L	NA	16.2814591912092	NA	NA	14.6155721670917	NA
92|L	23.1834694073374	NA	NA	NA	NA	NA
93|L	NA	25.5693816549229	NA	NA	25.3471244439933	NA
94|L	NA	23.7599970546452	NA	NA	26.0344786044876	NA
95|L	NA	NA	NA	NA	NA	25.4276793421919
96|L	NA	NA	NA	NA	NA	25.4276793421919
97|L	19.8410114380056	25.3943407468573	NA	NA	25.3803373994892	NA
98|L	21.4899341759473	25.912439308052	22.9358542153286	21.8683101431053	24.8755367663002	24.9254693249616
99|L	22.0393233834909	24.6376570181154	25.9915727060917	21.9707771656613	24.4788332991362	24.9272339790603
100|L	NA	24.1052556982859	NA	NA	23.2891205739423	NA
101|L	NA	23.9860697855067	NA	NA	23.4375864912677	NA
102|L	22.9572707006603	25.2540736268431	22.5317193622031	22.9888282025413	23.5086952306312	23.7595907761179
103|L	22.6837176970189	25.3499272042086	18.7677189309354	21.8411496853039	23.9017780195723	19.2862463978286
104|L	20.4113165036904	NA	21.1875526376388	21.3946155072851	NA	21.9813387211406
105|L	20.0290445283374	28.2702158251271	NA	NA	27.803658558659	NA
106|L	20.0290445283374	28.2702158251271	NA	NA	27.803658558659	NA
107|L	NA	NA	NA	NA	23.178888504304	NA
108|L	NA	NA	NA	NA	23.178888504304	NA
109|L	NA	NA	NA	NA	23.178888504304	NA
110|L	25.5044885461457	20.7657943561065	NA	25.1521306989285	21.8851318165594	NA
111|L	NA	22.6980153198156	NA	NA	24.4337081910014	NA
112|L	19.5546675370834	22.4260353836059	NA	NA	23.5575403606851	NA
116|L	NA	24.0194556702573	NA	NA	24.7091986899216	NA
117|L	NA	NA	NA	22.022388133297	24.5854884424436	NA
118|L	NA	27.8129884774166	NA	18.7835354350011	29.2136839909586	NA
120|L	NA	22.0662495207172	NA	18.0856591741946	22.1309739418065	NA
121|L	17.9449522157421	NA	NA	14.6194175960483	NA	19.5740206222802
122|L	NA	21.9234304998805	NA	NA	23.0736061713175	NA
124|L	NA	26.9902097646517	NA	NA	NA	NA
125|L	NA	26.5085139002113	NA	NA	27.6210774086688	NA
128|L	NA	21.9973821140997	NA	19.4294925591773	21.6460558898942	16.4867721850448
129|L	20.4115234010148	25.7795404288728	19.471496612677	21.4103850983736	25.7338393484305	NA
130|L	19.8842599691529	20.1419574337696	NA	18.6040391716066	NA	NA
132|L	21.5690397092089	26.5426228843867	NA	NA	23.1090239873657	NA
133|L	19.6030974646274	NA	NA	NA	NA	NA
134|L	19.6030974646274	NA	NA	NA	NA	NA
135|L	19.6030974646274	NA	NA	NA	NA	NA
136|L	22.2864720304598	26.8089447378728	21.5021286482605	21.7490690390538	27.064351026623	NA
137|L	NA	NA	NA	NA	19.0783019841778	NA
138|L	NA	NA	NA	NA	22.7018267659343	NA
140|L	NA	21.0825181107961	NA	NA	NA	NA
141|L	NA	23.1006758118564	NA	NA	24.6598700628198	17.1492707991215
142|L	18.7301914850193	25.1096457665299	18.5581291910151	NA	24.9773173114978	NA
143|L	NA	21.9362856755309	NA	NA	22.9527995347647	NA
144|L	23.8041018661743	28.2936877360498	22.8190938400658	25.1075322194125	29.6506664259842	23.4140296729724
145|L	26.078427409504	31.0368223490251	27.5705836172643	27.7669874097997	31.8025111759735	25.6922419506652
148|L	22.1552382407124	27.128195283538	NA	20.4157582704724	26.8221368596308	17.3363845169298
149|L	NA	NA	NA	NA	24.4093106483556	NA
150|L	NA	NA	NA	NA	24.4093106483556	NA
151|L	23.3342907461698	26.467155005679	22.1232891245882	22.4794625399951	26.7756779906926	NA
152|L	19.0427868856164	27.29789078357	20.1707221691685	NA	27.2956156529315	18.6463547901944
155|L	NA	17.5429109459691	NA	21.1941219966435	NA	NA
156|L	NA	17.5429109459691	NA	21.1941219966435	NA	NA
158|L	NA	22.0504598215026	NA	NA	NA	NA
159|L	20.9871113172865	26.894695849917	23.8613595670428	20.441821622179	27.819763855296	24.6013323727738
160|L	NA	NA	NA	NA	NA	24.6907244031244
161|L	NA	NA	NA	NA	21.5950953644067	NA
162|L	NA	NA	NA	NA	NA	22.2565807328214
163|L	20.5817816746378	26.3338643951667	18.6408944999073	NA	25.3344953499058	NA
164|L	NA	NA	27.5205080229794	NA	NA	27.4158678504887
165|L	24.0077000598879	25.2512226282484	NA	22.5720044059438	25.4611396768981	NA
172|L	NA	19.7358369466105	NA	NA	NA	NA
173|L	NA	23.7049319946485	21.2172075187183	NA	23.5564882798243	21.8449846026095
175|L	20.1310681729845	29.2737766082037	17.6454051280378	20.0528492691169	29.443676912265	19.3331990359089
176|L	NA	23.6338936562	NA	NA	22.1440133983759	NA
177|L	NA	25.0053888026158	NA	21.1390241743973	23.3896880504987	NA
178|L	NA	NA	NA	NA	24.9464147950201	NA
179|L	NA	NA	NA	NA	24.9464147950201	NA
180|L	NA	NA	NA	NA	24.9464147950201	NA
181|L	18.3706703809439	23.7478610689074	NA	NA	23.6393142090632	16.7762273885073
182|L	NA	23.4811145328222	NA	NA	25.6619096309015	NA
183|L	NA	22.7898679171956	NA	NA	23.3260827112801	NA
185|L	NA	NA	NA	NA	24.0446856057149	NA
186|L	NA	22.5438502881702	NA	18.3036737405219	23.4553814070514	NA
187|L	22.5674854432505	NA	NA	NA	22.1276404833016	NA
188|L	NA	25.4524936304516	NA	22.2121389254522	26.4498833846493	NA
189|L	21.0130445509221	NA	20.5010596612829	19.4307383834394	23.2502035639558	NA
190|L	21.9799791514766	24.8135267873378	20.6227453661363	22.5301481618778	25.0532471259124	20.2801409394838
191|L	22.6276959591242	26.0425163900007	22.8044170242201	23.1614640701581	27.3671971633763	21.1880358109312
192|L	20.6868834733693	19.2236906500262	NA	NA	NA	NA
193|L	20.6868834733693	26.2494333677161	NA	NA	27.9337084819517	22.5921777888361
194|L	22.2087797057187	NA	NA	21.6424025482506	NA	NA
195|L	NA	27.1801603288601	NA	NA	27.8573306829961	NA
196|L	NA	26.8782994294645	NA	NA	27.6831126284133	NA
197|L	17.2393001743642	NA	NA	NA	NA	NA
198|L	NA	NA	19.0922048360908	NA	NA	NA
199|L	NA	21.6587920066122	22.4054593616299	NA	21.632052677399	18.2386939509846
200|L	NA	26.4452172194756	19.6241743077323	21.6784832289721	26.9239971292585	NA
201|L	NA	NA	NA	NA	20.9212162459644	NA
202|L	NA	NA	19.8973787068498	NA	NA	NA
203|L	NA	21.2965891479437	23.1011248349156	NA	NA	24.0948257587808
204|L	NA	NA	26.2935649631955	NA	NA	26.5066236852246
205|L	NA	24.5949701210729	NA	NA	25.8727688026717	NA
206|L	NA	22.2522842911092	NA	NA	27.7124035710624	NA
207|L	NA	22.2522842911092	NA	NA	26.7188181777921	NA
208|L	NA	25.0555244012643	NA	NA	27.2987648793501	NA
209|L	NA	NA	NA	20.4828630901142	NA	NA
210|L	19.6076554037065	NA	NA	NA	NA	NA
211|L	NA	27.1128699342505	NA	NA	27.5923489033567	NA
212|L	NA	27.1128699342505	NA	NA	27.5923489033567	NA
213|L	NA	20.9078588768889	NA	NA	NA	NA
214|L	25.3635257570109	30.2816237465287	27.2598844609902	25.3704934596913	30.5951266735414	25.9087339886738
215|L	NA	21.8936363051639	NA	NA	NA	NA
216|L	NA	21.8936363051639	NA	NA	NA	NA
217|L	21.4869430154348	NA	NA	20.8164399610839	NA	NA
218|L	NA	23.3181036395089	NA	NA	22.5856603521661	NA
219|L	NA	19.4014753785896	NA	NA	NA	NA
220|L	NA	NA	NA	18.5196823190901	21.4679199273197	NA
221|L	NA	23.2864438283107	NA	NA	23.0405278599401	NA
222|L	NA	23.5152079930882	NA	NA	22.73712931236	NA
223|L	22.6001642766415	24.3663302192343	NA	24.1543731303694	25.920980100392	NA
224|L	25.5215716867459	29.6359045405065	25.5326707727006	26.3973471795789	30.7584347958611	24.0527497877722
