mean|ud_vs_ud	mean|30m_vs_ud	mean|1h_vs_ud	mean|6h_vs_ud	mean|1d_vs_ud
>JUM_strawberry|junction_2:74536472-74550184:-|MSTRG.20924.1,MSTRG.20924.7,MSTRG.20924.10,MSTRG.20924.11,MSTRG.20924.13,MSTRG.20924.19,MSTRG.20924.20,MSTRG.20924.21,MSTRG.20924.22,MSTRG.20924.24,MSTRG.20924.25,MSTRG.20924.26,MSTRG.20924.27,MSTRG.20924.28,M	>JUM_strawberry|junction_1:2185514-2186837:-|MSTRG.124.2,MSTRG.124.4,MSTRG.124.5,MSTRG.124.6,MSTRG.124.10,MSTRG.124.14,MSTRG.124.16,MSTRG.124.17,MSTRG.124.18,MSTRG.124.19,MSTRG.124.21,MSTRG.124.23,MSTRG.124.24,MSTRG.124.25,MSTRG.124.26,MSTRG.124.27,MSTRG.1	>JUM_strawberry|junction_1:2192976-2193638:-|MSTRG.124.4,MSTRG.124.15,MSTRG.124.21,MSTRG.124.25,MSTRG.124.26,MSTRG.124.30,MSTRG.124.31,MSTRG.124.32,MSTRG.124.38,MSTRG.124.39,MSTRG.124.43,MSTRG.124.49,MSTRG.124.53,MSTRG.124.54,MSTRG.124.61,MSTRG.124.62,MSTR	>JUM_strawberry|junction_1:155060833-155061903:+|MSTRG.2570.1,MSTRG.2570.4,MSTRG.2570.17,MSTRG.2570.25,MSTRG.2570.28,MSTRG.2570.38,MSTRG.2570.40,MSTRG.2570.43,MSTRG.2570.45,MSTRG.2570.52,MSTRG.2570.53,MSTRG.2570.56,MSTRG.2570.58,MSTRG.2570.60,MSTRG.2570.75	>JUM_strawberry|junction_1:39465113-39468614:+|MSTRG.972.2,MSTRG.972.4,MSTRG.972.5,MSTRG.972.6,MSTRG.972.8,MSTRG.972.9,MSTRG.972.10,MSTRG.972.11,MSTRG.972.12,MSTRG.972.14,MSTRG.972.16,MSTRG.972.20,MSTRG.972.22,MSTRG.972.23,MSTRG.972.25,MSTRG.972.27,MSTRG.9
>JUM_strawberry|junction_4:5814163-5818210:+|MSTRG.28196.4,MSTRG.28196.5,MSTRG.28196.7,MSTRG.28196.10,MSTRG.28196.13,MSTRG.28196.14,MSTRG.28196.19,MSTRG.28196.25,MSTRG.28196.29,MSTRG.28196.30,MSTRG.28196.34,MSTRG.28196.37,MSTRG.28196.38,MSTRG.28196.39,MSTR	>JUM_strawberry|junction_2:86442234-86449806:+|MSTRG.20950.1,MSTRG.20950.2,MSTRG.20950.3,MSTRG.20950.5,MSTRG.20950.6,MSTRG.20950.7,MSTRG.20950.8,MSTRG.20950.9,MSTRG.20950.10,MSTRG.20950.11,MSTRG.20950.12,MSTRG.20950.13,MSTRG.20950.14,MSTRG.20950.15,MSTRG.2	>JUM_strawberry|junction_2:219444985-219447973:+|MSTRG.22769.2,MSTRG.22769.5,MSTRG.22769.7,MSTRG.22769.8,MSTRG.22769.10,MSTRG.22769.11,MSTRG.22769.12,MSTRG.22769.14,MSTRG.22769.16,MSTRG.22769.18,MSTRG.22769.19,MSTRG.22769.20,MSTRG.22769.22,MSTRG.22769.25,M	>JUM_strawberry|junction_2:130161273-130164373:-|MSTRG.21578.1,MSTRG.21578.3,MSTRG.21578.5,MSTRG.21578.6,MSTRG.21578.7,MSTRG.21578.11,MSTRG.21578.15,MSTRG.21578.16,MSTRG.21578.17,MSTRG.21578.18,MSTRG.21578.19,MSTRG.21578.20,MSTRG.21578.21,MSTRG.21578.22,MS	>JUM_strawberry|junction_1:52905091-52907867:-|MSTRG.1274.3,MSTRG.1274.15,MSTRG.1274.27,MSTRG.1274.28,MSTRG.1274.43,MSTRG.1274.48,MSTRG.1274.67,MSTRG.1274.74,MSTRG.1274.78,MSTRG.1274.103,MSTRG.1274.107,MSTRG.1274.108,MSTRG.1274.142,MSTRG.1274.147,MSTRG.127
>JUM_strawberry|junction_4:86948572-87046165:+|MSTRG.28847.3,MSTRG.28847.4,MSTRG.28847.5,MSTRG.28847.6,MSTRG.28847.7,MSTRG.28847.8,MSTRG.28847.9,MSTRG.28847.10,MSTRG.28847.11,MSTRG.28847.12,MSTRG.28847.13,MSTRG.28847.14,MSTRG.28847.16,MSTRG.28847.17,MSTRG.	>JUM_strawberry|junction_5:103028239-103028886:+|MSTRG.30773.2,MSTRG.30773.3,MSTRG.30773.4,MSTRG.30773.6,MSTRG.30773.7,MSTRG.30773.9,MSTRG.30773.11,MSTRG.30773.12,MSTRG.30773.13,MSTRG.30773.14,MSTRG.30773.15,MSTRG.30773.16,MSTRG.30773.17,MSTRG.30773.18,MST	>JUM_strawberry|junction_9:86288745-86298766:-|MSTRG.38322.2,MSTRG.38322.3,MSTRG.38322.4,MSTRG.38322.5,MSTRG.38322.6,MSTRG.38322.7,MSTRG.38322.9,MSTRG.38322.13,MSTRG.38322.14,MSTRG.38322.15,MSTRG.38322.16,MSTRG.38322.17,MSTRG.38322.19,MSTRG.38322.20,MSTRG.	>JUM_strawberry|junction_4:5814163-5818210:+|MSTRG.28196.4,MSTRG.28196.5,MSTRG.28196.7,MSTRG.28196.10,MSTRG.28196.13,MSTRG.28196.14,MSTRG.28196.19,MSTRG.28196.25,MSTRG.28196.29,MSTRG.28196.30,MSTRG.28196.34,MSTRG.28196.37,MSTRG.28196.38,MSTRG.28196.39,MSTR	>JUM_strawberry|junction_1:100888865-100894632:-|MSTRG.1870.1,MSTRG.1870.5,MSTRG.1870.8,MSTRG.1870.10,MSTRG.1870.11,MSTRG.1870.18,MSTRG.1870.20,MSTRG.1870.22,MSTRG.1870.25,MSTRG.1870.26,MSTRG.1870.27,MSTRG.1870.28,MSTRG.1870.29,MSTRG.1870.31,MSTRG.1870.34,
>JUM_strawberry|junction_7:66554838-66573384:-|MSTRG.34861.1,MSTRG.34861.2,MSTRG.34861.3,MSTRG.34861.4,MSTRG.34861.5,MSTRG.34861.6,MSTRG.34861.7,MSTRG.34861.8,MSTRG.34861.9,MSTRG.34861.14,MSTRG.34861.15,MSTRG.34861.16,MSTRG.34861.18,MSTRG.34861.20,MSTRG.34	>JUM_strawberry|junction_11:93733398-93734624:-|MSTRG.7619.1,MSTRG.7619.3,MSTRG.7619.4,MSTRG.7619.6,MSTRG.7619.7,MSTRG.7619.9,MSTRG.7619.11,MSTRG.7619.12,MSTRG.7619.13,MSTRG.7619.15,MSTRG.7619.16,MSTRG.7619.17,MSTRG.7619.20,MSTRG.7619.22,MSTRG.7619.23,MSTR	>JUM_strawberry|junction_10:98400258-98407581:-|MSTRG.5356.1,MSTRG.5356.2,MSTRG.5356.3,MSTRG.5356.4,MSTRG.5356.5,MSTRG.5356.6,MSTRG.5356.7,MSTRG.5356.8,MSTRG.5356.9,MSTRG.5356.10,MSTRG.5356.11,MSTRG.5356.12,MSTRG.5356.14,MSTRG.5356.15,MSTRG.5356.16,MSTRG.5	>JUM_strawberry|junction_5:179618324-179619268:-|MSTRG.31993.1,MSTRG.31993.2,MSTRG.31993.4,MSTRG.31993.5,MSTRG.31993.6,MSTRG.31993.7,MSTRG.31993.8,MSTRG.31993.10,MSTRG.31993.11,MSTRG.31993.12,MSTRG.31993.14,MSTRG.31993.15,MSTRG.31993.17,MSTRG.31993.18,MSTR	>JUM_strawberry|junction_2:66569146-66571245:+|MSTRG.20655.2,MSTRG.20655.3,MSTRG.20655.4,MSTRG.20655.6,MSTRG.20655.7,MSTRG.20655.10,MSTRG.20655.12,MSTRG.20655.15,MSTRG.20655.17,MSTRG.20655.19,MSTRG.20655.24,MSTRG.20655.25,MSTRG.20655.26 OS=Homo sapiens GN=
>JUM_strawberry|junction_16:130592-138149:-|MSTRG.13347.1,MSTRG.13347.2,MSTRG.13347.5,MSTRG.13347.6,MSTRG.13347.8,MSTRG.13347.9,MSTRG.13347.11,MSTRG.13347.12,MSTRG.13347.13,MSTRG.13347.15,MSTRG.13347.16,MSTRG.13347.17,MSTRG.13347.18,MSTRG.13347.19,MSTRG.13	>JUM_strawberry|junction_12:132508351-132525733:+|MSTRG.9838.2,MSTRG.9838.3,MSTRG.9838.4,MSTRG.9838.5,MSTRG.9838.6,MSTRG.9838.7,MSTRG.9838.8,MSTRG.9838.9,MSTRG.9838.10,MSTRG.9838.11,MSTRG.9838.12,MSTRG.9838.13,MSTRG.9838.14,MSTRG.9838.15,MSTRG.9838.16,MSTR	>JUM_strawberry|junction_11:63819003-63822630:+|MSTRG.6686.2,MSTRG.6686.6,MSTRG.6686.8,MSTRG.6686.9,MSTRG.6686.10,MSTRG.6686.12,MSTRG.6686.14,MSTRG.6686.17,MSTRG.6686.18,MSTRG.6686.22,MSTRG.6686.23,MSTRG.6686.25,MSTRG.6686.26,MSTRG.6686.27,MSTRG.6686.29 OS	>JUM_strawberry|junction_7:142862134-142862755:+|MSTRG.35896.1,MSTRG.35896.3,MSTRG.35896.4,MSTRG.35896.5,MSTRG.35896.6,MSTRG.35896.7,MSTRG.35896.8,MSTRG.35896.10,MSTRG.35896.12,MSTRG.35896.13,MSTRG.35896.17,MSTRG.35896.18,MSTRG.35896.22,MSTRG.35896.26,MSTR	>JUM_strawberry|junction_2:95405403-95405552:+|MSTRG.21077.2,MSTRG.21077.3,MSTRG.21077.15,MSTRG.21077.17,MSTRG.21077.20,MSTRG.21077.22,MSTRG.21077.25,MSTRG.21077.26,MSTRG.21077.30,MSTRG.21077.33,MSTRG.21077.34,MSTRG.21077.41,MSTRG.21077.43,MSTRG.21077.44,M
>JUM_strawberry|junction_MT:6486-6556:-|MSTRG.41003.8,MSTRG.41003.9,MSTRG.41003.145,MSTRG.41003.208,MSTRG.41003.236,MSTRG.41003.333,MSTRG.41003.357,MSTRG.41003.436,MSTRG.41003.456,MSTRG.41003.473,MSTRG.41003.509,MSTRG.41003.564,MSTRG.41003.943,MSTRG.41003.	>JUM_strawberry|junction_15:58898853-58899468:-|MSTRG.12546.2,MSTRG.12546.3,MSTRG.12546.4,MSTRG.12546.5,MSTRG.12546.7,MSTRG.12546.8,MSTRG.12546.10,MSTRG.12546.11,MSTRG.12546.12,MSTRG.12546.13,MSTRG.12546.14,MSTRG.12546.17,MSTRG.12546.18,MSTRG.12546.19,MSTR	>JUM_strawberry|junction_12:878362-879572:+|MSTRG.7875.8,MSTRG.7875.10,MSTRG.7875.11,MSTRG.7875.12,MSTRG.7875.14,MSTRG.7875.16,MSTRG.7875.19,MSTRG.7875.20,MSTRG.7875.26,MSTRG.7875.28,MSTRG.7875.33,MSTRG.7875.35,MSTRG.7875.36,MSTRG.7875.42,MSTRG.7875.45,MST	>JUM_strawberry|junction_15:77286505-77365162:-|MSTRG.12905.1,MSTRG.12905.5,MSTRG.12905.6,MSTRG.12905.7,MSTRG.12905.10,MSTRG.12905.11,MSTRG.12905.12,MSTRG.12905.13,MSTRG.12905.14,MSTRG.12905.15,MSTRG.12905.16,MSTRG.12905.17,MSTRG.12905.18,MSTRG.12905.20,MS	>JUM_strawberry|junction_2:111248242-111344060:-|MSTRG.21335.2,MSTRG.21335.9,MSTRG.21335.10,MSTRG.21335.11,MSTRG.21335.18,MSTRG.21335.19,MSTRG.21335.22,MSTRG.21335.23,MSTRG.21335.28,MSTRG.21335.30,MSTRG.21335.32,MSTRG.21335.35,MSTRG.21335.36,MSTRG.21335.38
ACCSL	>JUM_strawberry|junction_16:125074-130521:-|MSTRG.13347.2,MSTRG.13347.8,MSTRG.13347.9,MSTRG.13347.12,MSTRG.13347.16,MSTRG.13347.17,MSTRG.13347.20,MSTRG.13347.22,MSTRG.13347.25,MSTRG.13347.27,MSTRG.13347.28,MSTRG.13347.35,MSTRG.13347.40,MSTRG.13347.43,MSTRG	>JUM_strawberry|junction_12:57719183-57720098:+|MSTRG.9050.43,MSTRG.9050.48,MSTRG.9050.53,MSTRG.9050.54,MSTRG.9050.56,MSTRG.9050.62,MSTRG.9050.64,MSTRG.9050.65,MSTRG.9050.69,MSTRG.9050.70,MSTRG.9050.71,MSTRG.9050.75,MSTRG.9050.76,MSTRG.9050.79,MSTRG.9050.8	>JUM_strawberry|junction_16:28823559-28825365:+|MSTRG.14056.1,MSTRG.14056.2,MSTRG.14056.3,MSTRG.14056.4,MSTRG.14056.5,MSTRG.14056.6,MSTRG.14056.7,MSTRG.14056.8,MSTRG.14056.9,MSTRG.14056.10,MSTRG.14056.11,MSTRG.14056.12,MSTRG.14056.13,MSTRG.14056.14,MSTRG.1	>JUM_strawberry|junction_2:111367576-111494884:-|MSTRG.21335.1,MSTRG.21335.2,MSTRG.21335.3,MSTRG.21335.4,MSTRG.21335.5,MSTRG.21335.6,MSTRG.21335.7,MSTRG.21335.8,MSTRG.21335.9,MSTRG.21335.10,MSTRG.21335.11,MSTRG.21335.13,MSTRG.21335.14,MSTRG.21335.15,MSTRG.
AHR	>JUM_strawberry|junction_16:70665097-70665465:-|MSTRG.14647.3,MSTRG.14647.4,MSTRG.14647.5,MSTRG.14647.6,MSTRG.14647.7,MSTRG.14647.8,MSTRG.14647.9,MSTRG.14647.11,MSTRG.14647.12,MSTRG.14647.13,MSTRG.14647.14,MSTRG.14647.16,MSTRG.14647.17,MSTRG.14647.19,MSTRG	>JUM_strawberry|junction_17:48029177-48032155:-|MSTRG.16143.1,MSTRG.16143.4,MSTRG.16143.5,MSTRG.16143.6,MSTRG.16143.7,MSTRG.16143.8,MSTRG.16143.9,MSTRG.16143.10,MSTRG.16143.11,MSTRG.16143.12,MSTRG.16143.13,MSTRG.16143.14,MSTRG.16143.15,MSTRG.16143.16,MSTRG	>JUM_strawberry|junction_20:35739548-35740524:-|MSTRG.23589.5,MSTRG.23589.15,MSTRG.23589.18,MSTRG.23589.20,MSTRG.23589.25,MSTRG.23589.32,MSTRG.23589.42,MSTRG.23589.43,MSTRG.23589.44,MSTRG.23589.48,MSTRG.23589.63,MSTRG.23589.68,MSTRG.23589.74,MSTRG.23589.76	>JUM_strawberry|junction_2:175118370-175121443:-|MSTRG.22009.1,MSTRG.22009.5,MSTRG.22009.9,MSTRG.22009.11,MSTRG.22009.13,MSTRG.22009.15,MSTRG.22009.16,MSTRG.22009.18,MSTRG.22009.19,MSTRG.22009.20,MSTRG.22009.22,MSTRG.22009.25,MSTRG.22009.27 OS=Homo sapiens
ANO1	>JUM_strawberry|junction_19:10688679-10689178:+|MSTRG.17960.1,MSTRG.17960.3,MSTRG.17960.5,MSTRG.17960.6,MSTRG.17960.8,MSTRG.17960.9,MSTRG.17960.10,MSTRG.17960.11,MSTRG.17960.13,MSTRG.17960.18,MSTRG.17960.24,MSTRG.17960.26,MSTRG.17960.27,MSTRG.17960.28,MSTR	>JUM_strawberry|junction_18:12308350-12308686:+|MSTRG.16975.1,MSTRG.16975.3,MSTRG.16975.4,MSTRG.16975.5,MSTRG.16975.7,MSTRG.16975.8,MSTRG.16975.13,MSTRG.16975.18,MSTRG.16975.20,MSTRG.16975.21,MSTRG.16975.22,MSTRG.16975.25,MSTRG.16975.27 OS=Homo sapiens GN=	>JUM_strawberry|junction_MT:12886-13639:-|MSTRG.41003.651,MSTRG.41003.771,MSTRG.41003.806,MSTRG.41003.810,MSTRG.41003.859,MSTRG.41003.877,MSTRG.41003.878,MSTRG.41003.884,MSTRG.41003.910,MSTRG.41003.911,MSTRG.41003.947,MSTRG.41003.961,MSTRG.41003.968,MSTRG.	>JUM_strawberry|junction_2:215370335-215370380:-|MSTRG.25457.9,MSTRG.25457.68,MSTRG.25457.71,MSTRG.25457.78,MSTRG.25457.111,MSTRG.25457.126,MSTRG.25457.127,MSTRG.25457.139,MSTRG.25457.150,MSTRG.25457.194,MSTRG.25457.231,MSTRG.25457.238,MSTRG.25457.243,MSTR
ATF4	ADH1A	>JUM_strawberry|junction_19:11195821-11196049:-|MSTRG.17981.5,MSTRG.17981.6,MSTRG.17981.15,MSTRG.17981.19,MSTRG.17981.25,MSTRG.17981.28,MSTRG.17981.34,MSTRG.17981.43,MSTRG.17981.46,MSTRG.17981.53,MSTRG.17981.60,MSTRG.17981.61,MSTRG.17981.72,MSTRG.17981.76	A2ML1	>JUM_strawberry|junction_2:237760206-237762602:+|MSTRG.22970.5,MSTRG.22970.6,MSTRG.22970.10,MSTRG.22970.13,MSTRG.22970.14,MSTRG.22970.15,MSTRG.22970.20,MSTRG.22970.23,MSTRG.22970.25,MSTRG.22970.26,MSTRG.22970.28,MSTRG.22970.29,MSTRG.22970.37,MSTRG.22970.38
