mean|ud_vs_ud	mean|30m_vs_ud	mean|1h_vs_ud	mean|6h_vs_ud	mean|1d_vs_ud
>JUM_strawberry|junction_10:98400258-98407581:-|MSTRG.5356.1,MSTRG.5356.2,MSTRG.5356.3,MSTRG.5356.4,MSTRG.5356.5,MSTRG.5356.6,MSTRG.5356.7,MSTRG.5356.8,MSTRG.5356.9,MSTRG.5356.10,MSTRG.5356.11,MSTRG.5356.12,MSTRG.5356.14,MSTRG.5356.15,MSTRG.5356.16,MSTRG.5	>JUM_strawberry|junction_1:155060833-155061903:+|MSTRG.2570.1,MSTRG.2570.4,MSTRG.2570.17,MSTRG.2570.25,MSTRG.2570.28,MSTRG.2570.38,MSTRG.2570.40,MSTRG.2570.43,MSTRG.2570.45,MSTRG.2570.52,MSTRG.2570.53,MSTRG.2570.56,MSTRG.2570.58,MSTRG.2570.60,MSTRG.2570.75	>JUM_strawberry|junction_1:52905091-52907867:-|MSTRG.1274.3,MSTRG.1274.15,MSTRG.1274.27,MSTRG.1274.28,MSTRG.1274.43,MSTRG.1274.48,MSTRG.1274.67,MSTRG.1274.74,MSTRG.1274.78,MSTRG.1274.103,MSTRG.1274.107,MSTRG.1274.108,MSTRG.1274.142,MSTRG.1274.147,MSTRG.127	>JUM_strawberry|junction_1:39465113-39468614:+|MSTRG.972.2,MSTRG.972.4,MSTRG.972.5,MSTRG.972.6,MSTRG.972.8,MSTRG.972.9,MSTRG.972.10,MSTRG.972.11,MSTRG.972.12,MSTRG.972.14,MSTRG.972.16,MSTRG.972.20,MSTRG.972.22,MSTRG.972.23,MSTRG.972.25,MSTRG.972.27,MSTRG.9	>JUM_strawberry|junction_1:2185514-2186837:-|MSTRG.124.2,MSTRG.124.4,MSTRG.124.5,MSTRG.124.6,MSTRG.124.10,MSTRG.124.14,MSTRG.124.16,MSTRG.124.17,MSTRG.124.18,MSTRG.124.19,MSTRG.124.21,MSTRG.124.23,MSTRG.124.24,MSTRG.124.25,MSTRG.124.26,MSTRG.124.27,MSTRG.1
>JUM_strawberry|junction_16:125074-130521:-|MSTRG.13347.2,MSTRG.13347.8,MSTRG.13347.9,MSTRG.13347.12,MSTRG.13347.16,MSTRG.13347.17,MSTRG.13347.20,MSTRG.13347.22,MSTRG.13347.25,MSTRG.13347.27,MSTRG.13347.28,MSTRG.13347.35,MSTRG.13347.40,MSTRG.13347.43,MSTRG	>JUM_strawberry|junction_1:228108319-228108436:-|MSTRG.3749.10,MSTRG.3749.15,MSTRG.3749.22,MSTRG.3749.26,MSTRG.3749.29,MSTRG.3749.30,MSTRG.3749.34,MSTRG.3749.35,MSTRG.3749.38,MSTRG.3749.39,MSTRG.3749.49,MSTRG.3749.52,MSTRG.3749.59,MSTRG.3749.73,MSTRG.3749.	>JUM_strawberry|junction_2:66569146-66571245:+|MSTRG.20655.2,MSTRG.20655.3,MSTRG.20655.4,MSTRG.20655.6,MSTRG.20655.7,MSTRG.20655.10,MSTRG.20655.12,MSTRG.20655.15,MSTRG.20655.17,MSTRG.20655.19,MSTRG.20655.24,MSTRG.20655.25,MSTRG.20655.26 OS=Homo sapiens GN=	>JUM_strawberry|junction_1:45561879-45566568:+|MSTRG.1182.1,MSTRG.1182.2,MSTRG.1182.3,MSTRG.1182.5,MSTRG.1182.6,MSTRG.1182.7,MSTRG.1182.8,MSTRG.1182.9,MSTRG.1182.10,MSTRG.1182.11,MSTRG.1182.12,MSTRG.1182.14,MSTRG.1182.15,MSTRG.1182.16,MSTRG.1182.18,MSTRG.1	>JUM_strawberry|junction_2:74536472-74550184:-|MSTRG.20924.1,MSTRG.20924.7,MSTRG.20924.10,MSTRG.20924.11,MSTRG.20924.13,MSTRG.20924.19,MSTRG.20924.20,MSTRG.20924.21,MSTRG.20924.22,MSTRG.20924.24,MSTRG.20924.25,MSTRG.20924.26,MSTRG.20924.27,MSTRG.20924.28,M
>JUM_strawberry|junction_19:10688679-10689178:+|MSTRG.17960.1,MSTRG.17960.3,MSTRG.17960.5,MSTRG.17960.6,MSTRG.17960.8,MSTRG.17960.9,MSTRG.17960.10,MSTRG.17960.11,MSTRG.17960.13,MSTRG.17960.18,MSTRG.17960.24,MSTRG.17960.26,MSTRG.17960.27,MSTRG.17960.28,MSTR	>JUM_strawberry|junction_3:100862386-100862837:-|MSTRG.26874.2,MSTRG.26874.7,MSTRG.26874.11,MSTRG.26874.13,MSTRG.26874.21,MSTRG.26874.24,MSTRG.26874.26,MSTRG.26874.27,MSTRG.26874.28,MSTRG.26874.29,MSTRG.26874.30,MSTRG.26874.31,MSTRG.26874.34,MSTRG.26874.35	>JUM_strawberry|junction_2:191683394-191683728:+|MSTRG.22318.1,MSTRG.22318.12,MSTRG.22318.16,MSTRG.22318.22,MSTRG.22318.29,MSTRG.22318.30,MSTRG.22318.36,MSTRG.22318.37,MSTRG.22318.45,MSTRG.22318.50,MSTRG.22318.59,MSTRG.22318.60,MSTRG.22318.62,MSTRG.22318.6	>JUM_strawberry|junction_1:46000980-46002804:+|MSTRG.1192.6,MSTRG.1192.9,MSTRG.1192.12,MSTRG.1192.13,MSTRG.1192.19,MSTRG.1192.26,MSTRG.1192.30,MSTRG.1192.36,MSTRG.1192.41,MSTRG.1192.45,MSTRG.1192.48,MSTRG.1192.52,MSTRG.1192.54,MSTRG.1192.58,MSTRG.1192.59,M	>JUM_strawberry|junction_3:37355188-37361242:+|MSTRG.25861.2,MSTRG.25861.3,MSTRG.25861.8,MSTRG.25861.9,MSTRG.25861.12,MSTRG.25861.26,MSTRG.25861.29,MSTRG.25861.32,MSTRG.25861.34,MSTRG.25861.35,MSTRG.25861.37,MSTRG.25861.40,MSTRG.25861.44,MSTRG.25861.51,MST
>JUM_strawberry|junction_MT:8680-8829:-|MSTRG.41003.3,MSTRG.41003.6,MSTRG.41003.7,MSTRG.41003.17,MSTRG.41003.39,MSTRG.41003.47,MSTRG.41003.50,MSTRG.41003.51,MSTRG.41003.59,MSTRG.41003.60,MSTRG.41003.61,MSTRG.41003.64,MSTRG.41003.66,MSTRG.41003.67,MSTRG.410	>JUM_strawberry|junction_3:197297236-197297543:-|MSTRG.27913.4,MSTRG.27913.14,MSTRG.27913.23,MSTRG.27913.28,MSTRG.27913.38,MSTRG.27913.43,MSTRG.27913.51,MSTRG.27913.60,MSTRG.27913.61,MSTRG.27913.66,MSTRG.27913.72,MSTRG.27913.92,MSTRG.27913.95,MSTRG.27913.9	>JUM_strawberry|junction_4:1938533-1939653:+|MSTRG.28022.1,MSTRG.28022.2,MSTRG.28022.3,MSTRG.28022.5,MSTRG.28022.6,MSTRG.28022.7,MSTRG.28022.8,MSTRG.28022.9,MSTRG.28022.10,MSTRG.28022.11,MSTRG.28022.12,MSTRG.28022.15,MSTRG.28022.16,MSTRG.28022.18,MSTRG.280	>JUM_strawberry|junction_1:77745600-77759642:-|MSTRG.1576.6,MSTRG.1576.14,MSTRG.1576.16,MSTRG.1576.26,MSTRG.1576.38,MSTRG.1576.42,MSTRG.1576.45,MSTRG.1576.51,MSTRG.1576.52,MSTRG.1576.59,MSTRG.1576.75,MSTRG.1576.76,MSTRG.1576.81,MSTRG.1576.83,MSTRG.1576.92	>JUM_strawberry|junction_4:5814163-5818210:+|MSTRG.28196.4,MSTRG.28196.5,MSTRG.28196.7,MSTRG.28196.10,MSTRG.28196.13,MSTRG.28196.14,MSTRG.28196.19,MSTRG.28196.25,MSTRG.28196.29,MSTRG.28196.30,MSTRG.28196.34,MSTRG.28196.37,MSTRG.28196.38,MSTRG.28196.39,MSTR
ACOT6	>JUM_strawberry|junction_4:1935263-1951071:+|MSTRG.28022.4,MSTRG.28022.13,MSTRG.28022.14,MSTRG.28022.17,MSTRG.28022.22,MSTRG.28022.28,MSTRG.28022.47,MSTRG.28022.50,MSTRG.28022.58,MSTRG.28022.64,MSTRG.28022.69,MSTRG.28022.71,MSTRG.28022.77,MSTRG.28022.82,MS	>JUM_strawberry|junction_4:20704815-20712787:+|MSTRG.28266.2,MSTRG.28266.9,MSTRG.28266.20,MSTRG.28266.23,MSTRG.28266.40,MSTRG.28266.49,MSTRG.28266.51,MSTRG.28266.55,MSTRG.28266.57,MSTRG.28266.60,MSTRG.28266.68,MSTRG.28266.72,MSTRG.28266.74,MSTRG.28266.77,M	>JUM_strawberry|junction_1:151442206-151459151:-|MSTRG.2461.1,MSTRG.2461.2,MSTRG.2461.6,MSTRG.2461.7,MSTRG.2461.9,MSTRG.2461.10,MSTRG.2461.13,MSTRG.2461.15,MSTRG.2461.16,MSTRG.2461.17,MSTRG.2461.24,MSTRG.2461.25,MSTRG.2461.26,MSTRG.2461.27,MSTRG.2461.28,MS	>JUM_strawberry|junction_5:103028239-103028886:+|MSTRG.30773.2,MSTRG.30773.3,MSTRG.30773.4,MSTRG.30773.6,MSTRG.30773.7,MSTRG.30773.9,MSTRG.30773.11,MSTRG.30773.12,MSTRG.30773.13,MSTRG.30773.14,MSTRG.30773.15,MSTRG.30773.16,MSTRG.30773.17,MSTRG.30773.18,MST
ADAT2	>JUM_strawberry|junction_4:37902513-38014508:+|MSTRG.28340.1,MSTRG.28340.3,MSTRG.28340.4,MSTRG.28340.5,MSTRG.28340.6,MSTRG.28340.7,MSTRG.28340.8,MSTRG.28340.9,MSTRG.28340.10,MSTRG.28340.11,MSTRG.28340.12,MSTRG.28340.13,MSTRG.28340.14,MSTRG.28340.15,MSTRG.2	>JUM_strawberry|junction_4:86948572-87046165:+|MSTRG.28847.3,MSTRG.28847.4,MSTRG.28847.5,MSTRG.28847.6,MSTRG.28847.7,MSTRG.28847.8,MSTRG.28847.9,MSTRG.28847.10,MSTRG.28847.11,MSTRG.28847.12,MSTRG.28847.13,MSTRG.28847.14,MSTRG.28847.16,MSTRG.28847.17,MSTRG.	>JUM_strawberry|junction_2:95405403-95405552:+|MSTRG.21077.2,MSTRG.21077.3,MSTRG.21077.15,MSTRG.21077.17,MSTRG.21077.20,MSTRG.21077.22,MSTRG.21077.25,MSTRG.21077.26,MSTRG.21077.30,MSTRG.21077.33,MSTRG.21077.34,MSTRG.21077.41,MSTRG.21077.43,MSTRG.21077.44,M	>JUM_strawberry|junction_6:29889605-29889706:+|MSTRG.32298.57,MSTRG.32298.58,MSTRG.32298.59,MSTRG.32298.64,MSTRG.32298.67,MSTRG.32298.69,MSTRG.32298.70,MSTRG.32298.75,MSTRG.32298.78,MSTRG.32298.79,MSTRG.32298.81,MSTRG.32298.82,MSTRG.32298.84,MSTRG.32298.87
ADH1B	>JUM_strawberry|junction_5:141938761-141939553:+|MSTRG.31259.9,MSTRG.31259.16,MSTRG.31259.24,MSTRG.31259.25,MSTRG.31259.27,MSTRG.31259.30,MSTRG.31259.31,MSTRG.31259.32,MSTRG.31259.39,MSTRG.31259.47,MSTRG.31259.48,MSTRG.31259.64,MSTRG.31259.67,MSTRG.31259.7	>JUM_strawberry|junction_7:21908508-21916753:-|MSTRG.34409.1,MSTRG.34409.4,MSTRG.34409.7,MSTRG.34409.8,MSTRG.34409.10,MSTRG.34409.12,MSTRG.34409.13,MSTRG.34409.14,MSTRG.34409.15,MSTRG.34409.18,MSTRG.34409.20,MSTRG.34409.21,MSTRG.34409.23,MSTRG.34409.24,MST	>JUM_strawberry|junction_2:219444985-219447973:+|MSTRG.22769.2,MSTRG.22769.5,MSTRG.22769.7,MSTRG.22769.8,MSTRG.22769.10,MSTRG.22769.11,MSTRG.22769.12,MSTRG.22769.14,MSTRG.22769.16,MSTRG.22769.18,MSTRG.22769.19,MSTRG.22769.20,MSTRG.22769.22,MSTRG.22769.25,M	>JUM_strawberry|junction_7:26190461-26190992:-|MSTRG.34561.1,MSTRG.34561.3,MSTRG.34561.7,MSTRG.34561.16,MSTRG.34561.21,MSTRG.34561.22,MSTRG.34561.26,MSTRG.34561.40,MSTRG.34561.42,MSTRG.34561.45,MSTRG.34561.52,MSTRG.34561.54,MSTRG.34561.55,MSTRG.34561.56,MS
ATG9A	>JUM_strawberry|junction_9:128266326-128267193:-|MSTRG.39035.2,MSTRG.39035.3,MSTRG.39035.4,MSTRG.39035.9,MSTRG.39035.10,MSTRG.39035.11,MSTRG.39035.13,MSTRG.39035.14,MSTRG.39035.15,MSTRG.39035.17,MSTRG.39035.20,MSTRG.39035.22,MSTRG.39035.23,MSTRG.39035.25,M	>JUM_strawberry|junction_8:143586853-143597347:-|MSTRG.37441.28,MSTRG.37441.32,MSTRG.37441.34,MSTRG.37441.35,MSTRG.37441.36,MSTRG.37441.38,MSTRG.37441.46,MSTRG.37441.48,MSTRG.37441.51,MSTRG.37441.70,MSTRG.37441.85,MSTRG.37441.87,MSTRG.37441.88,MSTRG.37441.	>JUM_strawberry|junction_2:237377345-237378635:-|MSTRG.23057.3,MSTRG.23057.5,MSTRG.23057.11,MSTRG.23057.12,MSTRG.23057.25,MSTRG.23057.36,MSTRG.23057.37,MSTRG.23057.44,MSTRG.23057.52,MSTRG.23057.57,MSTRG.23057.58,MSTRG.23057.60,MSTRG.23057.61,MSTRG.23057.67	>JUM_strawberry|junction_7:66554838-66573384:-|MSTRG.34861.1,MSTRG.34861.2,MSTRG.34861.3,MSTRG.34861.4,MSTRG.34861.5,MSTRG.34861.6,MSTRG.34861.7,MSTRG.34861.8,MSTRG.34861.9,MSTRG.34861.14,MSTRG.34861.15,MSTRG.34861.16,MSTRG.34861.18,MSTRG.34861.20,MSTRG.34
C2CD4B	>JUM_strawberry|junction_12:57108300-57109940:-|MSTRG.8838.13,MSTRG.8838.14,MSTRG.8838.17,MSTRG.8838.20,MSTRG.8838.40,MSTRG.8838.43,MSTRG.8838.53,MSTRG.8838.55,MSTRG.8838.64,MSTRG.8838.69,MSTRG.8838.74,MSTRG.8838.80,MSTRG.8838.92,MSTRG.8838.95,MSTRG.8838.9	>JUM_strawberry|junction_9:134832892-134834970:+|MSTRG.39301.3,MSTRG.39301.4,MSTRG.39301.5,MSTRG.39301.6,MSTRG.39301.8,MSTRG.39301.9,MSTRG.39301.32,MSTRG.39301.34,MSTRG.39301.60,MSTRG.39301.63,MSTRG.39301.65,MSTRG.39301.66,MSTRG.39301.67,MSTRG.39301.125,MS	>JUM_strawberry|junction_2:241268542-241268953:-|MSTRG.23052.4,MSTRG.23052.10,MSTRG.23052.12,MSTRG.23052.19,MSTRG.23052.20,MSTRG.23052.22,MSTRG.23052.33,MSTRG.23052.44,MSTRG.23052.52,MSTRG.23052.64,MSTRG.23052.65,MSTRG.23052.68,MSTRG.23052.69,MSTRG.23052.7	>JUM_strawberry|junction_8:143586853-143597347:-|MSTRG.37441.28,MSTRG.37441.32,MSTRG.37441.34,MSTRG.37441.35,MSTRG.37441.36,MSTRG.37441.38,MSTRG.37441.46,MSTRG.37441.48,MSTRG.37441.51,MSTRG.37441.70,MSTRG.37441.85,MSTRG.37441.87,MSTRG.37441.88,MSTRG.37441.
C8orf82	>JUM_strawberry|junction_15:77286505-77365162:-|MSTRG.12905.1,MSTRG.12905.5,MSTRG.12905.6,MSTRG.12905.7,MSTRG.12905.10,MSTRG.12905.11,MSTRG.12905.12,MSTRG.12905.13,MSTRG.12905.14,MSTRG.12905.15,MSTRG.12905.16,MSTRG.12905.17,MSTRG.12905.18,MSTRG.12905.20,MS	>JUM_strawberry|junction_13:37574653-37577752:-|MSTRG.10126.9,MSTRG.10126.12,MSTRG.10126.15,MSTRG.10126.16,MSTRG.10126.17,MSTRG.10126.18,MSTRG.10126.19,MSTRG.10126.22,MSTRG.10126.24,MSTRG.10126.25,MSTRG.10126.27,MSTRG.10126.28,MSTRG.10126.30,MSTRG.10126.34	>JUM_strawberry|junction_3:100862386-100862837:-|MSTRG.26874.2,MSTRG.26874.7,MSTRG.26874.11,MSTRG.26874.13,MSTRG.26874.21,MSTRG.26874.24,MSTRG.26874.26,MSTRG.26874.27,MSTRG.26874.28,MSTRG.26874.29,MSTRG.26874.30,MSTRG.26874.31,MSTRG.26874.34,MSTRG.26874.35	>JUM_strawberry|junction_9:86288745-86298766:-|MSTRG.38322.2,MSTRG.38322.3,MSTRG.38322.4,MSTRG.38322.5,MSTRG.38322.6,MSTRG.38322.7,MSTRG.38322.9,MSTRG.38322.13,MSTRG.38322.14,MSTRG.38322.15,MSTRG.38322.16,MSTRG.38322.17,MSTRG.38322.19,MSTRG.38322.20,MSTRG.
